Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
Baseline;Alcoy;4.73778;3.73370;0;0
Baseline;Arzua;5.74960;4.10580;0;0
Baseline;BrionF;5.97156;6.23390;0;0
Baseline;BrionU;6.76109;7.32730;0;0
Opt1-Quadtree;Alcoy;3.18097;1.98120;0;0
Opt1-Quadtree;Arzua;3.77251;1.69980;0;0
Opt1-Quadtree;BrionF;4.02561;3.07200;0;0
Opt1-Quadtree;BrionU;4.49581;3.88930;0;0
Opt2-Par;Alcoy;0.50753;1.85749;7;0
Opt2-Par;Arzua;0.68382;1.38141;7;0
Opt2-Par;BrionF;0.78206;1.88158;5;0
Opt2-Par;BrionU;0.91893;2.20802;5;0
Opt3-MemoA;Alcoy;0.52303;1.18340;8;0
Opt3-MemoA;Arzua;0.67946;0.78173;6;0
Opt3-MemoA;BrionF;0.81055;1.19020;5;0
Opt3-MemoA;BrionU;0.83492;1.41117;4;0
Opt3-MemoB;Alcoy;0.69541;0.86866;7;0
Opt3-MemoB;Arzua;0.81794;0.58918;7;0
Opt3-MemoB;BrionF;0.81085;0.41725;5;0
Opt3-MemoB;BrionU;0.92204;0.48167;5;0
Opt3-Memo;Alcoy;0.69564;0.56163;7;0
Opt3-Memo;Arzua;0.82012;0.37575;7;0
Opt3-Memo;BrionF;0.76641;0.27649;4;0
Opt3-Memo;BrionU;0.86669;0.33685;4;0
Opt4-MaxNum;Alcoy;0.224172;0.293419;6;128
Opt4-MaxNum;Arzua;0.401346;0.267633;6;256
Opt4-MaxNum;BrionF;0.837139;0.322867;4;64
Opt4-MaxNum;BrionU;0.937749;0.360620;4;64
Opt4-MinRad;Alcoy;0.167986;0.275714;5;1.8
Opt4-MinRad;Arzua;0.329102;0.270224;5;0.5
Opt4-MinRad;BrionF;0.76641;0.27649;4;0.1
Opt4-MinRad;BrionU;0.86669;0.33685;4;0.1
