Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
owm-sycl-cpu;Alcoy;0.39190;0.19109;0;64
owm-sycl-cpu;Arzua;0.81469;0.19765;0;128
owm-sycl-cpu;BrionF;0.97617;0.11153;0;128
owm-sycl-cpu;BrionU;1.10405;0.12631;0;128
owm-sycl-cpu-nomemo;Alcoy;0.39146;0.22724;0;64
owm-sycl-cpu-nomemo;Arzua;0.81833;0.26675;0;128
owm-sycl-cpu-nomemo;BrionF;0.96195;0.20382;0;512
owm-sycl-cpu-nomemo;BrionU;1.09199;0.23396;0;512
owm-sycl-dgpu;Alcoy;0.29006;0.22956;0;64
owm-sycl-dgpu;Arzua;0.35557;0.32924;0;128
owm-sycl-dgpu;BrionF;0.93017;0.16180;0;64
owm-sycl-dgpu;BrionU;0.67697;0.16601;0;32
owm-sycl-dgpu-nomemo;Alcoy;0.28955;0.27217;0;64
owm-sycl-dgpu-nomemo;Arzua;0.35560;0.47331;0;128
owm-sycl-dgpu-nomemo;BrionF;0.91357;0.43947;0;128
owm-sycl-dgpu-nomemo;BrionU;0.62585;0.49728;0;128
owm-sycl-cuda-dgpu;Alcoy;0.02955;0.17032;0;64
owm-sycl-cuda-dgpu;Arzua;0.05855;0.21247;0;128
owm-sycl-cuda-dgpu;BrionF;0.07976;0.15875;0;128
owm-sycl-cuda-dgpu;BrionU;0.08963;0.17100;0;128
owm-sycl-cuda-dgpu-nomemo;Alcoy;0.02955;0.2674;0;64
owm-sycl-cuda-dgpu-nomemo;Arzua;0.05855;0.44619;0;128
owm-sycl-cuda-dgpu-nomemo;BrionF;0.07876;0.45458;0;128
owm-sycl-cuda-dgpu-nomemo;BrionU;0.08963;0.64930;0;128
owm-cuda;Alcoy;0.02754;0.13281;0;16
owm-cuda;Arzua;0.05550;0.19173;0;32
owm-cuda;BrionF;0.07895;0.15254;0;32
owm-cuda;BrionU;0.08148;0.16935;0;32
owm-cuda-nomemo;Alcoy;0.02390;0.15596;0;64
owm-cuda-nomemo;Arzua;0.05319;0.26673;0;64
owm-cuda-nomemo;BrionF;0.06796;0.30039;0;256
owm-cuda-nomemo;BrionU;0.08076;0.32212;0;256
