HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 112049
N_nodos_hoja: 84031
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 242
__min: 0
__max: 512
Densidad_media: 6063.3
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 0.302947
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i

0 2998 0 0 0
1 4 4 25 100
2 3 6 50 150
3 4 12 75 300
4 4 16 100 400
5 3 15 125 375
6 2 12 150 300
7 3 21 175 525
8 3 24 200 600
9 2 18 225 450
10 5 50 250 1250
11 6 66 275 1650
12 3 36 300 900
13 10 130 325 3250
14 11 154 350 3850
15 12 180 375 4500
16 13 208 400 5200
17 15 255 425 6375
18 32 576 450 14400
19 32 608 475 15200
20 52 1040 500 26000
21 44 924 525 23100
22 43 946 550 23650
23 44 1012 575 25300
24 41 984 600 24600
25 35 875 625 21875
26 30 780 650 19500
27 18 486 675 12150
28 23 644 700 16100
29 20 580 725 14500
30 19 570 750 14250
31 18 558 775 13950
32 18 576 800 14400
33 20 660 825 16500
34 13 442 850 11050
35 20 700 875 17500
36 8 288 900 7200
37 19 703 925 17575
38 14 532 950 13300
39 12 468 975 11700
40 11 440 1000 11000
41 22 902 1025 22550
42 9 378 1050 9450
43 11 473 1075 11825
44 13 572 1100 14300
45 19 855 1125 21375
46 12 552 1150 13800
47 18 846 1175 21150
48 23 1104 1200 27600
49 16 784 1225 19600
50 21 1050 1250 26250
51 16 816 1275 20400
52 17 884 1300 22100
53 16 848 1325 21200
54 18 972 1350 24300
55 17 935 1375 23375
56 20 1120 1400 28000
57 23 1311 1425 32775
58 12 696 1450 17400
59 22 1298 1475 32450
60 18 1080 1500 27000
61 21 1281 1525 32025
62 26 1612 1550 40300
63 26 1638 1575 40950
64 22 1408 1600 35200
65 30 1950 1625 48750
66 24 1584 1650 39600
67 27 1809 1675 45225
68 20 1360 1700 34000
69 27 1863 1725 46575
70 31 2170 1750 54250
71 35 2485 1775 62125
72 29 2088 1800 52200
73 37 2701 1825 67525
74 37 2738 1850 68450
75 36 2700 1875 67500
76 57 4332 1900 108300
77 44 3388 1925 84700
78 49 3822 1950 95550
79 54 4266 1975 106650
80 62 4960 2000 124000
81 70 5670 2025 141750
82 44 3608 2050 90200
83 52 4316 2075 107900
84 70 5880 2100 147000
85 51 4335 2125 108375
86 60 5160 2150 129000
87 53 4611 2175 115275
88 68 5984 2200 149600
89 55 4895 2225 122375
90 62 5580 2250 139500
91 69 6279 2275 156975
92 57 5244 2300 131100
93 75 6975 2325 174375
94 74 6956 2350 173900
95 75 7125 2375 178125
96 68 6528 2400 163200
97 80 7760 2425 194000
98 62 6076 2450 151900
99 99 9801 2475 245025
100 97 9700 2500 242500
101 87 8787 2525 219675
102 85 8670 2550 216750
103 86 8858 2575 221450
104 80 8320 2600 208000
105 105 11025 2625 275625
106 126 13356 2650 333900
107 114 12198 2675 304950
108 126 13608 2700 340200
109 134 14606 2725 365150
110 125 13750 2750 343750
111 125 13875 2775 346875
112 148 16576 2800 414400
113 142 16046 2825 401150
114 137 15618 2850 390450
115 146 16790 2875 419750
116 148 17168 2900 429200
117 170 19890 2925 497250
118 166 19588 2950 489700
119 179 21301 2975 532525
120 178 21360 3000 534000
121 198 23958 3025 598950
122 186 22692 3050 567300
123 215 26445 3075 661125
124 205 25420 3100 635500
125 196 24500 3125 612500
126 221 27846 3150 696150
127 209 26543 3175 663575
128 216 27648 3200 691200
129 237 30573 3225 764325
130 240 31200 3250 780000
131 196 25676 3275 641900
132 218 28776 3300 719400
133 233 30989 3325 774725
134 253 33902 3350 847550
135 229 30915 3375 772875
136 228 31008 3400 775200
137 254 34798 3425 869950
138 217 29946 3450 748650
139 224 31136 3475 778400
140 249 34860 3500 871500
141 236 33276 3525 831900
142 257 36494 3550 912350
143 213 30459 3575 761475
144 255 36720 3600 918000
145 219 31755 3625 793875
146 221 32266 3650 806650
147 205 30135 3675 753375
148 225 33300 3700 832500
149 232 34568 3725 864200
150 206 30900 3750 772500
151 249 37599 3775 939975
152 233 35416 3800 885400
153 211 32283 3825 807075
154 210 32340 3850 808500
155 224 34720 3875 868000
156 216 33696 3900 842400
157 238 37366 3925 934150
158 221 34918 3950 872950
159 230 36570 3975 914250
160 210 33600 4000 840000
161 217 34937 4025 873425
162 215 34830 4050 870750
163 231 37653 4075 941325
164 204 33456 4100 836400
165 229 37785 4125 944625
166 253 41998 4150 1.04995e+06
167 207 34569 4175 864225
168 228 38304 4200 957600
169 221 37349 4225 933725
170 187 31790 4250 794750
171 212 36252 4275 906300
172 245 42140 4300 1.0535e+06
173 237 41001 4325 1.02502e+06
174 218 37932 4350 948300
175 252 44100 4375 1.1025e+06
176 230 40480 4400 1.012e+06
177 223 39471 4425 986775
178 248 44144 4450 1.1036e+06
179 246 44034 4475 1.10085e+06
180 221 39780 4500 994500
181 245 44345 4525 1.10862e+06
182 294 53508 4550 1.3377e+06
183 273 49959 4575 1.24897e+06
184 229 42136 4600 1.0534e+06
185 260 48100 4625 1.2025e+06
186 282 52452 4650 1.3113e+06
187 300 56100 4675 1.4025e+06
188 306 57528 4700 1.4382e+06
189 298 56322 4725 1.40805e+06
190 300 57000 4750 1.425e+06
191 306 58446 4775 1.46115e+06
192 316 60672 4800 1.5168e+06
193 320 61760 4825 1.544e+06
194 332 64408 4850 1.6102e+06
195 311 60645 4875 1.51612e+06
196 373 73108 4900 1.8277e+06
197 386 76042 4925 1.90105e+06
198 365 72270 4950 1.80675e+06
199 340 67660 4975 1.6915e+06
200 411 82200 5000 2.055e+06
201 407 81807 5025 2.04517e+06
202 356 71912 5050 1.7978e+06
203 351 71253 5075 1.78132e+06
204 401 81804 5100 2.0451e+06
205 380 77900 5125 1.9475e+06
206 358 73748 5150 1.8437e+06
207 419 86733 5175 2.16832e+06
208 376 78208 5200 1.9552e+06
209 430 89870 5225 2.24675e+06
210 409 85890 5250 2.14725e+06
211 411 86721 5275 2.16802e+06
212 410 86920 5300 2.173e+06
213 387 82431 5325 2.06077e+06
214 424 90736 5350 2.2684e+06
215 406 87290 5375 2.18225e+06
216 378 81648 5400 2.0412e+06
217 416 90272 5425 2.2568e+06
218 378 82404 5450 2.0601e+06
219 367 80373 5475 2.00932e+06
220 420 92400 5500 2.31e+06
221 404 89284 5525 2.2321e+06
222 369 81918 5550 2.04795e+06
223 406 90538 5575 2.26345e+06
224 379 84896 5600 2.1224e+06
225 337 75825 5625 1.89562e+06
226 370 83620 5650 2.0905e+06
227 373 84671 5675 2.11677e+06
228 390 88920 5700 2.223e+06
229 365 83585 5725 2.08962e+06
230 350 80500 5750 2.0125e+06
231 344 79464 5775 1.9866e+06
232 390 90480 5800 2.262e+06
233 343 79919 5825 1.99797e+06
234 361 84474 5850 2.11185e+06
235 350 82250 5875 2.05625e+06
236 378 89208 5900 2.2302e+06
237 345 81765 5925 2.04412e+06
238 350 83300 5950 2.0825e+06
239 352 84128 5975 2.1032e+06
240 345 82800 6000 2.07e+06
241 334 80494 6025 2.01235e+06
242 314 75988 6050 1.8997e+06
243 314 76302 6075 1.90755e+06
244 329 80276 6100 2.0069e+06
245 328 80360 6125 2.009e+06
246 348 85608 6150 2.1402e+06
247 340 83980 6175 2.0995e+06
248 317 78616 6200 1.9654e+06
249 323 80427 6225 2.01067e+06
250 290 72500 6250 1.8125e+06
251 305 76555 6275 1.91387e+06
252 293 73836 6300 1.8459e+06
253 296 74888 6325 1.8722e+06
254 295 74930 6350 1.87325e+06
255 322 82110 6375 2.05275e+06
256 297 76032 6400 1.9008e+06
257 308 79156 6425 1.9789e+06
258 313 80754 6450 2.01885e+06
259 295 76405 6475 1.91012e+06
260 277 72020 6500 1.8005e+06
261 276 72036 6525 1.8009e+06
262 307 80434 6550 2.01085e+06
263 303 79689 6575 1.99222e+06
264 267 70488 6600 1.7622e+06
265 300 79500 6625 1.9875e+06
266 293 77938 6650 1.94845e+06
267 289 77163 6675 1.92907e+06
268 304 81472 6700 2.0368e+06
269 276 74244 6725 1.8561e+06
270 242 65340 6750 1.6335e+06
271 293 79403 6775 1.98507e+06
272 276 75072 6800 1.8768e+06
273 277 75621 6825 1.89052e+06
274 278 76172 6850 1.9043e+06
275 243 66825 6875 1.67062e+06
276 262 72312 6900 1.8078e+06
277 278 77006 6925 1.92515e+06
278 275 76450 6950 1.91125e+06
279 253 70587 6975 1.76467e+06
280 265 74200 7000 1.855e+06
281 262 73622 7025 1.84055e+06
282 278 78396 7050 1.9599e+06
283 260 73580 7075 1.8395e+06
284 275 78100 7100 1.9525e+06
285 244 69540 7125 1.7385e+06
286 264 75504 7150 1.8876e+06
287 218 62566 7175 1.56415e+06
288 250 72000 7200 1.8e+06
289 260 75140 7225 1.8785e+06
290 286 82940 7250 2.0735e+06
291 268 77988 7275 1.9497e+06
292 262 76504 7300 1.9126e+06
293 272 79696 7325 1.9924e+06
294 268 78792 7350 1.9698e+06
295 255 75225 7375 1.88062e+06
296 277 81992 7400 2.0498e+06
297 240 71280 7425 1.782e+06
298 253 75394 7450 1.88485e+06
299 238 71162 7475 1.77905e+06
300 250 75000 7500 1.875e+06
301 264 79464 7525 1.9866e+06
302 248 74896 7550 1.8724e+06
303 249 75447 7575 1.88617e+06
304 249 75696 7600 1.8924e+06
305 260 79300 7625 1.9825e+06
306 210 64260 7650 1.6065e+06
307 241 73987 7675 1.84967e+06
308 231 71148 7700 1.7787e+06
309 232 71688 7725 1.7922e+06
310 246 76260 7750 1.9065e+06
311 204 63444 7775 1.5861e+06
312 217 67704 7800 1.6926e+06
313 240 75120 7825 1.878e+06
314 238 74732 7850 1.8683e+06
315 232 73080 7875 1.827e+06
316 244 77104 7900 1.9276e+06
317 209 66253 7925 1.65632e+06
318 221 70278 7950 1.75695e+06
319 230 73370 7975 1.83425e+06
320 242 77440 8000 1.936e+06
321 225 72225 8025 1.80562e+06
322 225 72450 8050 1.81125e+06
323 209 67507 8075 1.68767e+06
324 209 67716 8100 1.6929e+06
325 213 69225 8125 1.73062e+06
326 211 68786 8150 1.71965e+06
327 217 70959 8175 1.77397e+06
328 191 62648 8200 1.5662e+06
329 213 70077 8225 1.75192e+06
330 174 57420 8250 1.4355e+06
331 207 68517 8275 1.71292e+06
332 199 66068 8300 1.6517e+06
333 200 66600 8325 1.665e+06
334 166 55444 8350 1.3861e+06
335 175 58625 8375 1.46562e+06
336 186 62496 8400 1.5624e+06
337 192 64704 8425 1.6176e+06
338 192 64896 8450 1.6224e+06
339 213 72207 8475 1.80517e+06
340 185 62900 8500 1.5725e+06
341 170 57970 8525 1.44925e+06
342 184 62928 8550 1.5732e+06
343 180 61740 8575 1.5435e+06
344 162 55728 8600 1.3932e+06
345 142 48990 8625 1.22475e+06
346 151 52246 8650 1.30615e+06
347 173 60031 8675 1.50077e+06
348 175 60900 8700 1.5225e+06
349 161 56189 8725 1.40472e+06
350 180 63000 8750 1.575e+06
351 155 54405 8775 1.36012e+06
352 161 56672 8800 1.4168e+06
353 155 54715 8825 1.36787e+06
354 156 55224 8850 1.3806e+06
355 140 49700 8875 1.2425e+06
356 147 52332 8900 1.3083e+06
357 178 63546 8925 1.58865e+06
358 165 59070 8950 1.47675e+06
359 151 54209 8975 1.35522e+06
360 160 57600 9000 1.44e+06
361 138 49818 9025 1.24545e+06
362 161 58282 9050 1.45705e+06
363 155 56265 9075 1.40662e+06
364 151 54964 9100 1.3741e+06
365 118 43070 9125 1.07675e+06
366 141 51606 9150 1.29015e+06
367 147 53949 9175 1.34872e+06
368 139 51152 9200 1.2788e+06
369 123 45387 9225 1.13467e+06
370 139 51430 9250 1.28575e+06
371 122 45262 9275 1.13155e+06
372 128 47616 9300 1.1904e+06
373 141 52593 9325 1.31482e+06
374 125 46750 9350 1.16875e+06
375 145 54375 9375 1.35937e+06
376 123 46248 9400 1.1562e+06
377 101 38077 9425 951925
378 132 49896 9450 1.2474e+06
379 117 44343 9475 1.10857e+06
380 108 41040 9500 1.026e+06
381 106 40386 9525 1.00965e+06
382 117 44694 9550 1.11735e+06
383 117 44811 9575 1.12027e+06
384 115 44160 9600 1.104e+06
385 126 48510 9625 1.21275e+06
386 116 44776 9650 1.1194e+06
387 114 44118 9675 1.10295e+06
388 108 41904 9700 1.0476e+06
389 110 42790 9725 1.06975e+06
390 110 42900 9750 1.0725e+06
391 109 42619 9775 1.06547e+06
392 111 43512 9800 1.0878e+06
393 106 41658 9825 1.04145e+06
394 131 51614 9850 1.29035e+06
395 100 39500 9875 987500
396 89 35244 9900 881100
397 113 44861 9925 1.12152e+06
398 97 38606 9950 965150
399 93 37107 9975 927675
400 113 45200 10000 1.13e+06
401 105 42105 10025 1.05262e+06
