HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 230189
N_nodos_hoja: 172635
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 245
__min: 0
__max: 512
Densidad_media: 6137.93
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i

0 1978 0 0 0
1 38 38 25 950
2 22 44 50 1100
3 19 57 75 1425
4 22 88 100 2200
5 21 105 125 2625
6 14 84 150 2100
7 15 105 175 2625
8 10 80 200 2000
9 12 108 225 2700
10 11 110 250 2750
11 11 121 275 3025
12 14 168 300 4200
13 10 130 325 3250
14 10 140 350 3500
15 12 180 375 4500
16 16 256 400 6400
17 11 187 425 4675
18 8 144 450 3600
19 21 399 475 9975
20 19 380 500 9500
21 11 231 525 5775
22 14 308 550 7700
23 19 437 575 10925
24 15 360 600 9000
25 12 300 625 7500
26 13 338 650 8450
27 16 432 675 10800
28 12 336 700 8400
29 13 377 725 9425
30 9 270 750 6750
31 17 527 775 13175
32 24 768 800 19200
33 16 528 825 13200
34 9 306 850 7650
35 16 560 875 14000
36 15 540 900 13500
37 18 666 925 16650
38 23 874 950 21850
39 26 1014 975 25350
40 15 600 1000 15000
41 12 492 1025 12300
42 17 714 1050 17850
43 22 946 1075 23650
44 19 836 1100 20900
45 24 1080 1125 27000
46 22 1012 1150 25300
47 15 705 1175 17625
48 25 1200 1200 30000
49 29 1421 1225 35525
50 21 1050 1250 26250
51 30 1530 1275 38250
52 34 1768 1300 44200
53 29 1537 1325 38425
54 27 1458 1350 36450
55 25 1375 1375 34375
56 26 1456 1400 36400
57 43 2451 1425 61275
58 42 2436 1450 60900
59 48 2832 1475 70800
60 48 2880 1500 72000
61 48 2928 1525 73200
62 49 3038 1550 75950
63 52 3276 1575 81900
64 54 3456 1600 86400
65 44 2860 1625 71500
66 48 3168 1650 79200
67 62 4154 1675 103850
68 77 5236 1700 130900
69 71 4899 1725 122475
70 52 3640 1750 91000
71 68 4828 1775 120700
72 101 7272 1800 181800
73 90 6570 1825 164250
74 91 6734 1850 168350
75 82 6150 1875 153750
76 88 6688 1900 167200
77 94 7238 1925 180950
78 109 8502 1950 212550
79 113 8927 1975 223175
80 128 10240 2000 256000
81 125 10125 2025 253125
82 121 9922 2050 248050
83 114 9462 2075 236550
84 126 10584 2100 264600
85 154 13090 2125 327250
86 158 13588 2150 339700
87 140 12180 2175 304500
88 162 14256 2200 356400
89 155 13795 2225 344875
90 162 14580 2250 364500
91 168 15288 2275 382200
92 193 17756 2300 443900
93 177 16461 2325 411525
94 203 19082 2350 477050
95 208 19760 2375 494000
96 218 20928 2400 523200
97 224 21728 2425 543200
98 258 25284 2450 632100
99 240 23760 2475 594000
100 276 27600 2500 690000
101 269 27169 2525 679225
102 259 26418 2550 660450
103 271 27913 2575 697825
104 281 29224 2600 730600
105 301 31605 2625 790125
106 291 30846 2650 771150
107 335 35845 2675 896125
108 321 34668 2700 866700
109 360 39240 2725 981000
110 338 37180 2750 929500
111 359 39849 2775 996225
112 386 43232 2800 1.0808e+06
113 363 41019 2825 1.02547e+06
114 367 41838 2850 1.04595e+06
115 422 48530 2875 1.21325e+06
116 430 49880 2900 1.247e+06
117 489 57213 2925 1.43032e+06
118 478 56404 2950 1.4101e+06
119 445 52955 2975 1.32387e+06
120 532 63840 3000 1.596e+06
121 556 67276 3025 1.6819e+06
122 559 68198 3050 1.70495e+06
123 562 69126 3075 1.72815e+06
124 604 74896 3100 1.8724e+06
125 658 82250 3125 2.05625e+06
126 706 88956 3150 2.2239e+06
127 709 90043 3175 2.25107e+06
128 730 93440 3200 2.336e+06
129 754 97266 3225 2.43165e+06
130 766 99580 3250 2.4895e+06
131 823 107813 3275 2.69532e+06
132 810 106920 3300 2.673e+06
133 869 115577 3325 2.88942e+06
134 865 115910 3350 2.89775e+06
135 838 113130 3375 2.82825e+06
136 883 120088 3400 3.0022e+06
137 894 122478 3425 3.06195e+06
138 856 118128 3450 2.9532e+06
139 868 120652 3475 3.0163e+06
140 850 119000 3500 2.975e+06
141 827 116607 3525 2.91517e+06
142 863 122546 3550 3.06365e+06
143 852 121836 3575 3.0459e+06
144 806 116064 3600 2.9016e+06
145 854 123830 3625 3.09575e+06
146 890 129940 3650 3.2485e+06
147 775 113925 3675 2.84812e+06
148 851 125948 3700 3.1487e+06
149 825 122925 3725 3.07312e+06
150 818 122700 3750 3.0675e+06
151 810 122310 3775 3.05775e+06
152 819 124488 3800 3.1122e+06
153 796 121788 3825 3.0447e+06
154 810 124740 3850 3.1185e+06
155 781 121055 3875 3.02637e+06
156 803 125268 3900 3.1317e+06
157 825 129525 3925 3.23812e+06
158 798 126084 3950 3.1521e+06
159 805 127995 3975 3.19987e+06
160 786 125760 4000 3.144e+06
161 777 125097 4025 3.12742e+06
162 742 120204 4050 3.0051e+06
163 706 115078 4075 2.87695e+06
164 767 125788 4100 3.1447e+06
165 706 116490 4125 2.91225e+06
166 760 126160 4150 3.154e+06
167 731 122077 4175 3.05192e+06
168 752 126336 4200 3.1584e+06
169 771 130299 4225 3.25747e+06
170 661 112370 4250 2.80925e+06
171 743 127053 4275 3.17632e+06
172 791 136052 4300 3.4013e+06
173 700 121100 4325 3.0275e+06
174 713 124062 4350 3.10155e+06
175 687 120225 4375 3.00562e+06
176 685 120560 4400 3.014e+06
177 710 125670 4425 3.14175e+06
178 668 118904 4450 2.9726e+06
179 700 125300 4475 3.1325e+06
180 700 126000 4500 3.15e+06
181 714 129234 4525 3.23085e+06
182 691 125762 4550 3.14405e+06
183 680 124440 4575 3.111e+06
184 695 127880 4600 3.197e+06
185 665 123025 4625 3.07562e+06
186 624 116064 4650 2.9016e+06
187 717 134079 4675 3.35197e+06
188 630 118440 4700 2.961e+06
189 663 125307 4725 3.13267e+06
190 646 122740 4750 3.0685e+06
191 598 114218 4775 2.85545e+06
192 649 124608 4800 3.1152e+06
193 682 131626 4825 3.29065e+06
194 669 129786 4850 3.24465e+06
195 625 121875 4875 3.04687e+06
196 619 121324 4900 3.0331e+06
197 619 121943 4925 3.04857e+06
198 644 127512 4950 3.1878e+06
