HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 281365
N_nodos_hoja: 211017
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 227
__min: 0
__max: 512
Densidad_media: 5689.65
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 4.88443
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i

0 2043 0 0 0
1 32 32 25 800
2 20 40 50 1000
3 22 66 75 1650
4 13 52 100 1300
5 16 80 125 2000
6 8 48 150 1200
7 23 161 175 4025
8 22 176 200 4400
9 12 108 225 2700
10 16 160 250 4000
11 12 132 275 3300
12 15 180 300 4500
13 15 195 325 4875
14 12 168 350 4200
15 15 225 375 5625
16 14 224 400 5600
17 21 357 425 8925
18 15 270 450 6750
19 10 190 475 4750
20 14 280 500 7000
21 14 294 525 7350
22 12 264 550 6600
23 15 345 575 8625
24 10 240 600 6000
25 20 500 625 12500
26 12 312 650 7800
27 17 459 675 11475
28 15 420 700 10500
29 12 348 725 8700
30 13 390 750 9750
31 18 558 775 13950
32 9 288 800 7200
33 15 495 825 12375
34 16 544 850 13600
35 14 490 875 12250
36 13 468 900 11700
37 26 962 925 24050
38 20 760 950 19000
39 16 624 975 15600
40 25 1000 1000 25000
41 19 779 1025 19475
42 22 924 1050 23100
43 19 817 1075 20425
44 25 1100 1100 27500
45 23 1035 1125 25875
46 20 920 1150 23000
47 26 1222 1175 30550
48 34 1632 1200 40800
49 36 1764 1225 44100
50 38 1900 1250 47500
51 26 1326 1275 33150
52 34 1768 1300 44200
53 50 2650 1325 66250
54 43 2322 1350 58050
55 44 2420 1375 60500
56 53 2968 1400 74200
57 44 2508 1425 62700
58 55 3190 1450 79750
59 44 2596 1475 64900
60 55 3300 1500 82500
61 54 3294 1525 82350
62 68 4216 1550 105400
63 52 3276 1575 81900
64 67 4288 1600 107200
65 70 4550 1625 113750
66 66 4356 1650 108900
67 74 4958 1675 123950
68 75 5100 1700 127500
69 83 5727 1725 143175
70 109 7630 1750 190750
71 108 7668 1775 191700
72 97 6984 1800 174600
73 104 7592 1825 189800
74 107 7918 1850 197950
75 120 9000 1875 225000
76 122 9272 1900 231800
77 143 11011 1925 275275
78 132 10296 1950 257400
79 149 11771 1975 294275
80 152 12160 2000 304000
81 177 14337 2025 358425
82 183 15006 2050 375150
83 199 16517 2075 412925
84 189 15876 2100 396900
85 189 16065 2125 401625
86 188 16168 2150 404200
87 216 18792 2175 469800
88 241 21208 2200 530200
89 233 20737 2225 518425
90 250 22500 2250 562500
91 251 22841 2275 571025
92 269 24748 2300 618700
93 278 25854 2325 646350
94 307 28858 2350 721450
95 316 30020 2375 750500
96 305 29280 2400 732000
97 355 34435 2425 860875
98 330 32340 2450 808500
99 368 36432 2475 910800
100 366 36600 2500 915000
101 389 39289 2525 982225
102 432 44064 2550 1.1016e+06
103 469 48307 2575 1.20767e+06
104 433 45032 2600 1.1258e+06
105 469 49245 2625 1.23112e+06
106 488 51728 2650 1.2932e+06
107 479 51253 2675 1.28132e+06
108 506 54648 2700 1.3662e+06
109 556 60604 2725 1.5151e+06
110 586 64460 2750 1.6115e+06
111 618 68598 2775 1.71495e+06
112 606 67872 2800 1.6968e+06
113 659 74467 2825 1.86167e+06
114 673 76722 2850 1.91805e+06
115 725 83375 2875 2.08437e+06
116 759 88044 2900 2.2011e+06
117 750 87750 2925 2.19375e+06
118 790 93220 2950 2.3305e+06
119 807 96033 2975 2.40082e+06
120 828 99360 3000 2.484e+06
121 859 103939 3025 2.59847e+06
122 846 103212 3050 2.5803e+06
123 889 109347 3075 2.73367e+06
124 940 116560 3100 2.914e+06
125 1017 127125 3125 3.17812e+06
126 1063 133938 3150 3.34845e+06
127 1087 138049 3175 3.45122e+06
128 1237 158336 3200 3.9584e+06
129 1215 156735 3225 3.91837e+06
130 1319 171470 3250 4.28675e+06
131 1302 170562 3275 4.26405e+06
132 1370 180840 3300 4.521e+06
133 1439 191387 3325 4.78467e+06
134 1423 190682 3350 4.76705e+06
135 1375 185625 3375 4.64062e+06
136 1418 192848 3400 4.8212e+06
137 1436 196732 3425 4.9183e+06
138 1495 206310 3450 5.15775e+06
139 1389 193071 3475 4.82677e+06
140 1413 197820 3500 4.9455e+06
141 1421 200361 3525 5.00902e+06
142 1466 208172 3550 5.2043e+06
143 1361 194623 3575 4.86557e+06
144 1380 198720 3600 4.968e+06
145 1465 212425 3625 5.31062e+06
146 1389 202794 3650 5.06985e+06
147 1426 209622 3675 5.24055e+06
148 1365 202020 3700 5.0505e+06
149 1358 202342 3725 5.05855e+06
150 1328 199200 3750 4.98e+06
151 1358 205058 3775 5.12645e+06
152 1354 205808 3800 5.1452e+06
153 1303 199359 3825 4.98397e+06
154 1299 200046 3850 5.00115e+06
155 1272 197160 3875 4.929e+06
156 1270 198120 3900 4.953e+06
157 1259 197663 3925 4.94157e+06
158 1227 193866 3950 4.84665e+06
159 1207 191913 3975 4.79782e+06
160 1255 200800 4000 5.02e+06
161 1142 183862 4025 4.59655e+06
162 1098 177876 4050 4.4469e+06
163 1094 178322 4075 4.45805e+06
164 1134 185976 4100 4.6494e+06
165 1106 182490 4125 4.56225e+06
166 1135 188410 4150 4.71025e+06
167 1084 181028 4175 4.5257e+06
168 1067 179256 4200 4.4814e+06
169 1021 172549 4225 4.31372e+06
170 1059 180030 4250 4.50075e+06
171 1018 174078 4275 4.35195e+06
172 931 160132 4300 4.0033e+06
173 979 169367 4325 4.23417e+06
174 966 168084 4350 4.2021e+06
175 965 168875 4375 4.22187e+06
176 899 158224 4400 3.9556e+06
177 938 166026 4425 4.15065e+06
178 955 169990 4450 4.24975e+06
179 982 175778 4475 4.39445e+06
180 852 153360 4500 3.834e+06
181 893 161633 4525 4.04082e+06
182 812 147784 4550 3.6946e+06
183 880 161040 4575 4.026e+06
184 943 173512 4600 4.3378e+06
185 812 150220 4625 3.7555e+06
186 839 156054 4650 3.90135e+06
187 842 157454 4675 3.93635e+06
188 850 159800 4700 3.995e+06
189 825 155925 4725 3.89812e+06
190 824 156560 4750 3.914e+06
191 834 159294 4775 3.98235e+06
192 743 142656 4800 3.5664e+06
193 788 152084 4825 3.8021e+06
194 727 141038 4850 3.52595e+06
195 769 149955 4875 3.74887e+06
196 786 154056 4900 3.8514e+06
197 778 153266 4925 3.83165e+06
198 765 151470 4950 3.78675e+06
199 724 144076 4975 3.6019e+06
200 744 148800 5000 3.72e+06
201 700 140700 5025 3.5175e+06
202 745 150490 5050 3.76225e+06
203 724 146972 5075 3.6743e+06
204 743 151572 5100 3.7893e+06
205 655 134275 5125 3.35687e+06
206 719 148114 5150 3.70285e+06
207 662 137034 5175 3.42585e+06
208 616 128128 5200 3.2032e+06
209 662 138358 5225 3.45895e+06
210 711 149310 5250 3.73275e+06
211 685 144535 5275 3.61337e+06
212 640 135680 5300 3.392e+06
213 675 143775 5325 3.59437e+06
214 644 137816 5350 3.4454e+06
215 594 127710 5375 3.19275e+06
216 643 138888 5400 3.4722e+06
217 665 144305 5425 3.60762e+06
218 629 137122 5450 3.42805e+06
219 651 142569 5475 3.56422e+06
220 594 130680 5500 3.267e+06
221 626 138346 5525 3.45865e+06
222 602 133644 5550 3.3411e+06
223 616 137368 5575 3.4342e+06
224 624 139776 5600 3.4944e+06
225 599 134775 5625 3.36937e+06
226 555 125430 5650 3.13575e+06
227 595 135065 5675 3.37662e+06
228 563 128364 5700 3.2091e+06
229 590 135110 5725 3.37775e+06
230 619 142370 5750 3.55925e+06
231 546 126126 5775 3.15315e+06
232 575 133400 5800 3.335e+06
233 573 133509 5825 3.33772e+06
234 555 129870 5850 3.24675e+06
235 561 131835 5875 3.29587e+06
236 562 132632 5900 3.3158e+06
237 601 142437 5925 3.56092e+06
238 542 128996 5950 3.2249e+06
239 558 133362 5975 3.33405e+06
240 505 121200 6000 3.03e+06
241 550 132550 6025 3.31375e+06
242 531 128502 6050 3.21255e+06
243 526 127818 6075 3.19545e+06
244 519 126636 6100 3.1659e+06
245 524 128380 6125 3.2095e+06
246 533 131118 6150 3.27795e+06
247 514 126958 6175 3.17395e+06
248 487 120776 6200 3.0194e+06
249 543 135207 6225 3.38017e+06
250 489 122250 6250 3.05625e+06
251 517 129767 6275 3.24417e+06
252 476 119952 6300 2.9988e+06
253 491 124223 6325 3.10557e+06
254 508 129032 6350 3.2258e+06
255 462 117810 6375 2.94525e+06
256 489 125184 6400 3.1296e+06
257 489 125673 6425 3.14182e+06
258 438 113004 6450 2.8251e+06
259 474 122766 6475 3.06915e+06
260 421 109460 6500 2.7365e+06
261 420 109620 6525 2.7405e+06
262 454 118948 6550 2.9737e+06
263 448 117824 6575 2.9456e+06
264 447 118008 6600 2.9502e+06
265 450 119250 6625 2.98125e+06
266 433 115178 6650 2.87945e+06
267 413 110271 6675 2.75677e+06
268 417 111756 6700 2.7939e+06
269 415 111635 6725 2.79087e+06
270 433 116910 6750 2.92275e+06
271 414 112194 6775 2.80485e+06
272 407 110704 6800 2.7676e+06
273 396 108108 6825 2.7027e+06
274 419 114806 6850 2.87015e+06
275 399 109725 6875 2.74312e+06
276 403 111228 6900 2.7807e+06
277 352 97504 6925 2.4376e+06
278 441 122598 6950 3.06495e+06
279 382 106578 6975 2.66445e+06
280 372 104160 7000 2.604e+06
281 370 103970 7025 2.59925e+06
282 402 113364 7050 2.8341e+06
283 368 104144 7075 2.6036e+06
284 414 117576 7100 2.9394e+06
285 373 106305 7125 2.65762e+06
286 368 105248 7150 2.6312e+06
287 361 103607 7175 2.59017e+06
288 339 97632 7200 2.4408e+06
289 394 113866 7225 2.84665e+06
290 359 104110 7250 2.60275e+06
291 357 103887 7275 2.59717e+06
292 314 91688 7300 2.2922e+06
293 376 110168 7325 2.7542e+06
294 368 108192 7350 2.7048e+06
295 354 104430 7375 2.61075e+06
296 338 100048 7400 2.5012e+06
297 383 113751 7425 2.84377e+06
298 339 101022 7450 2.52555e+06
299 328 98072 7475 2.4518e+06
300 338 101400 7500 2.535e+06
301 333 100233 7525 2.50582e+06
302 316 95432 7550 2.3858e+06
303 323 97869 7575 2.44672e+06
304 293 89072 7600 2.2268e+06
305 340 103700 7625 2.5925e+06
306 312 95472 7650 2.3868e+06
307 283 86881 7675 2.17202e+06
308 305 93940 7700 2.3485e+06
309 323 99807 7725 2.49517e+06
310 322 99820 7750 2.4955e+06
311 315 97965 7775 2.44912e+06
312 303 94536 7800 2.3634e+06
313 298 93274 7825 2.33185e+06
314 308 96712 7850 2.4178e+06
315 317 99855 7875 2.49637e+06
316 320 101120 7900 2.528e+06
317 314 99538 7925 2.48845e+06
318 291 92538 7950 2.31345e+06
319 306 97614 7975 2.44035e+06
320 272 87040 8000 2.176e+06
321 312 100152 8025 2.5038e+06
322 301 96922 8050 2.42305e+06
323 297 95931 8075 2.39827e+06
324 300 97200 8100 2.43e+06
325 295 95875 8125 2.39687e+06
326 310 101060 8150 2.5265e+06
327 304 99408 8175 2.4852e+06
328 315 103320 8200 2.583e+06
329 269 88501 8225 2.21252e+06
330 306 100980 8250 2.5245e+06
331 286 94666 8275 2.36665e+06
332 313 103916 8300 2.5979e+06
333 294 97902 8325 2.44755e+06
334 259 86506 8350 2.16265e+06
335 303 101505 8375 2.53762e+06
336 272 91392 8400 2.2848e+06
337 262 88294 8425 2.20735e+06
338 301 101738 8450 2.54345e+06
339 255 86445 8475 2.16112e+06
340 244 82960 8500 2.074e+06
341 280 95480 8525 2.387e+06
342 254 86868 8550 2.1717e+06
343 302 103586 8575 2.58965e+06
344 268 92192 8600 2.3048e+06
345 278 95910 8625 2.39775e+06
346 263 90998 8650 2.27495e+06
347 279 96813 8675 2.42032e+06
348 260 90480 8700 2.262e+06
349 254 88646 8725 2.21615e+06
350 272 95200 8750 2.38e+06
351 262 91962 8775 2.29905e+06
352 245 86240 8800 2.156e+06
353 261 92133 8825 2.30332e+06
354 254 89916 8850 2.2479e+06
355 261 92655 8875 2.31637e+06
356 277 98612 8900 2.4653e+06
357 250 89250 8925 2.23125e+06
358 266 95228 8950 2.3807e+06
359 264 94776 8975 2.3694e+06
360 258 92880 9000 2.322e+06
361 253 91333 9025 2.28332e+06
362 246 89052 9050 2.2263e+06
363 268 97284 9075 2.4321e+06
364 268 97552 9100 2.4388e+06
365 254 92710 9125 2.31775e+06
366 239 87474 9150 2.18685e+06
367 227 83309 9175 2.08272e+06
368 259 95312 9200 2.3828e+06
369 231 85239 9225 2.13097e+06
370 243 89910 9250 2.24775e+06
371 224 83104 9275 2.0776e+06
372 257 95604 9300 2.3901e+06
373 257 95861 9325 2.39652e+06
374 262 97988 9350 2.4497e+06
375 230 86250 9375 2.15625e+06
376 256 96256 9400 2.4064e+06
377 244 91988 9425 2.2997e+06
378 216 81648 9450 2.0412e+06
379 237 89823 9475 2.24557e+06
380 247 93860 9500 2.3465e+06
381 255 97155 9525 2.42887e+06
382 230 87860 9550 2.1965e+06
383 208 79664 9575 1.9916e+06
384 237 91008 9600 2.2752e+06
385 267 102795 9625 2.56987e+06
386 224 86464 9650 2.1616e+06
387 259 100233 9675 2.50582e+06
388 213 82644 9700 2.0661e+06
389 217 84413 9725 2.11032e+06
390 208 81120 9750 2.028e+06
391 234 91494 9775 2.28735e+06
392 228 89376 9800 2.2344e+06
393 232 91176 9825 2.2794e+06
394 211 83134 9850 2.07835e+06
395 193 76235 9875 1.90587e+06
396 217 85932 9900 2.1483e+06
397 224 88928 9925 2.2232e+06
398 220 87560 9950 2.189e+06
399 202 80598 9975 2.01495e+06
400 204 81600 10000 2.04e+06
401 208 83408 10025 2.0852e+06
402 261 104922 10050 2.62305e+06
403 216 87048 10075 2.1762e+06
404 256 103424 10100 2.5856e+06
405 229 92745 10125 2.31862e+06
406 181 73486 10150 1.83715e+06
407 215 87505 10175 2.18762e+06
408 237 96696 10200 2.4174e+06
409 233 95297 10225 2.38242e+06
410 205 84050 10250 2.10125e+06
411 253 103983 10275 2.59957e+06
412 220 90640 10300 2.266e+06
413 217 89621 10325 2.24052e+06
414 248 102672 10350 2.5668e+06
415 220 91300 10375 2.2825e+06
416 227 94432 10400 2.3608e+06
417 224 93408 10425 2.3352e+06
418 213 89034 10450 2.22585e+06
419 237 99303 10475 2.48257e+06
420 212 89040 10500 2.226e+06
421 193 81253 10525 2.03132e+06
422 226 95372 10550 2.3843e+06
423 227 96021 10575 2.40052e+06
424 215 91160 10600 2.279e+06
425 213 90525 10625 2.26312e+06
426 234 99684 10650 2.4921e+06
427 205 87535 10675 2.18837e+06
428 211 90308 10700 2.2577e+06
429 227 97383 10725 2.43457e+06
430 217 93310 10750 2.33275e+06
