HISTOGRAM: ../bin/data/ArzuaH_salida.xyz.csv
N_puntos: 40706503
N_nodos: 349525
N_nodos_hoja: 262144
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 155
__min: 0
__max: 6606
Densidad_media: 107.835
__min: 0
__max: 4587.5

ESTIMADO: 
N_medio_pts/nodo: 58.6185
Densidad_media: 40.7073

x_i n_i x_i*n_i rho_i rho_i*n_i

0 31 0 0 0
1 7 7 0.694444 4.86111
2 2 4 1.38889 2.77778
3 3 9 2.08333 6.25
4 6 24 2.77778 16.6667
5 7 35 3.47222 24.3056
6 8 48 4.16667 33.3333
7 3 21 4.86111 14.5833
8 6 48 5.55556 33.3333
9 2 18 6.25 12.5
10 4 40 6.94444 27.7778
11 7 77 7.63889 53.4722
12 5 60 8.33333 41.6667
13 9 117 9.02778 81.25
14 9 126 9.72222 87.5
15 4 60 10.4167 41.6667
16 12 192 11.1111 133.333
17 6 102 11.8056 70.8333
18 7 126 12.5 87.5
19 9 171 13.1944 118.75
20 18 360 13.8889 250
21 7 147 14.5833 102.083
22 9 198 15.2778 137.5
23 11 253 15.9722 175.694
24 11 264 16.6667 183.333
25 16 400 17.3611 277.778
26 15 390 18.0556 270.833
27 14 378 18.75 262.5
28 27 756 19.4444 525
29 26 754 20.1389 523.611
30 38 1140 20.8333 791.667
31 52 1612 21.5278 1119.44
32 75 2400 22.2222 1666.67
33 102 3366 22.9167 2337.5
34 108 3672 23.6111 2550
35 134 4690 24.3056 3256.94
36 150 5400 25 3750
37 174 6438 25.6944 4470.83
38 193 7334 26.3889 5093.06
39 240 9360 27.0833 6500
40 359 14360 27.7778 9972.22
41 373 15293 28.4722 10620.1
42 333 13986 29.1667 9712.5
43 378 16254 29.8611 11287.5
44 391 17204 30.5556 11947.2
45 452 20340 31.25 14125
46 529 24334 31.9444 16898.6
47 647 30409 32.6389 21117.4
48 699 33552 33.3333 23300
49 801 39249 34.0278 27256.2
50 1059 52950 34.7222 36770.8
51 1028 52428 35.4167 36408.3
52 1031 53612 36.1111 37230.6
53 1024 54272 36.8056 37688.9
54 1141 61614 37.5 42787.5
55 1240 68200 38.1944 47361.1
