HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 803725
N_nodos_hoja: 602794
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 70
__min: 0
__max: 686
Densidad_media: 439.463
__min: 0
__max: 4287.5

ESTIMADO: 
N_medio_pts/nodo: 19.152
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i

0 13786 0 0 0
1 1574 1574 6.25 9837.5
2 1366 2732 12.5 17075
3 1137 3411 18.75 21318.7
4 1082 4328 25 27050
5 1038 5190 31.25 32437.5
6 1064 6384 37.5 39900
7 1073 7511 43.75 46943.7
8 1061 8488 50 53050
9 1102 9918 56.25 61987.5
10 1084 10840 62.5 67750
11 1183 13013 68.75 81331.2
12 1162 13944 75 87150
13 1256 16328 81.25 102050
14 1255 17570 87.5 109812
15 1368 20520 93.75 128250
16 1437 22992 100 143700
17 1517 25789 106.25 161181
18 1718 30924 112.5 193275
19 1922 36518 118.75 228237
20 2211 44220 125 276375
21 2526 53046 131.25 331537
22 2717 59774 137.5 373587
23 3005 69115 143.75 431969
24 3276 78624 150 491400
25 3878 96950 156.25 605937
26 4241 110266 162.5 689162
27 4900 132300 168.75 826875
28 5965 167020 175 1.04387e+06
29 6712 194648 181.25 1.21655e+06
30 7167 215010 187.5 1.34381e+06
31 7350 227850 193.75 1.42406e+06
32 7267 232544 200 1.4534e+06
33 7052 232716 206.25 1.45447e+06
34 6826 232084 212.5 1.45052e+06
35 6695 234325 218.75 1.46453e+06
36 6498 233928 225 1.46205e+06
37 6555 242535 231.25 1.51584e+06
38 6359 241642 237.5 1.51026e+06
39 6604 257556 243.75 1.60972e+06
40 6528 261120 250 1.632e+06
41 6799 278759 256.25 1.74224e+06
42 6783 284886 262.5 1.78054e+06
43 6886 296098 268.75 1.85061e+06
44 6778 298232 275 1.86395e+06
45 6932 311940 281.25 1.94962e+06
46 6907 317722 287.5 1.98576e+06
47 6970 327590 293.75 2.04744e+06
48 7036 337728 300 2.1108e+06
49 7028 344372 306.25 2.15232e+06
50 7092 354600 312.5 2.21625e+06
51 6918 352818 318.75 2.20511e+06
52 6843 355836 325 2.22397e+06
53 6884 364852 331.25 2.28032e+06
54 6869 370926 337.5 2.31829e+06
55 6794 373670 343.75 2.33544e+06
56 6579 368424 350 2.30265e+06
57 6679 380703 356.25 2.37939e+06
58 6722 389876 362.5 2.43672e+06
59 6478 382202 368.75 2.38876e+06
60 6496 389760 375 2.436e+06
61 6176 376736 381.25 2.3546e+06
62 5987 371194 387.5 2.31996e+06
63 6200 390600 393.75 2.44125e+06
64 5926 379264 400 2.3704e+06
65 5878 382070 406.25 2.38794e+06
66 5985 395010 412.5 2.46881e+06
67 5651 378617 418.75 2.36636e+06
68 5490 373320 425 2.33325e+06
69 5512 380328 431.25 2.37705e+06
70 5328 372960 437.5 2.331e+06
71 5409 384039 443.75 2.40024e+06
72 5416 389952 450 2.4372e+06
73 5221 381133 456.25 2.38208e+06
74 5224 386576 462.5 2.4161e+06
75 5099 382425 468.75 2.39016e+06
76 4975 378100 475 2.36312e+06
77 4889 376453 481.25 2.35283e+06
78 4893 381654 487.5 2.38534e+06
79 4936 389944 493.75 2.43715e+06
80 4780 382400 500 2.39e+06
81 4712 381672 506.25 2.38545e+06
82 4660 382120 512.5 2.38825e+06
83 4486 372338 518.75 2.32711e+06
84 4619 387996 525 2.42497e+06
85 4409 374765 531.25 2.34228e+06
86 4305 370230 537.5 2.31394e+06
87 4281 372447 543.75 2.32779e+06
88 4331 381128 550 2.38205e+06
89 4305 383145 556.25 2.39466e+06
90 4253 382770 562.5 2.39231e+06
91 4184 380744 568.75 2.37965e+06
92 4136 380512 575 2.3782e+06
93 3901 362793 581.25 2.26746e+06
94 3900 366600 587.5 2.29125e+06
95 3851 365845 593.75 2.28653e+06
96 3774 362304 600 2.2644e+06
97 3633 352401 606.25 2.20251e+06
98 3605 353290 612.5 2.20806e+06
99 3529 349371 618.75 2.18357e+06
100 3466 346600 625 2.16625e+06
101 3421 345521 631.25 2.15951e+06
102 3251 331602 637.5 2.07251e+06
103 3231 332793 643.75 2.07996e+06
104 3083 320632 650 2.00395e+06
105 3099 325395 656.25 2.03372e+06
106 3016 319696 662.5 1.9981e+06
107 2922 312654 668.75 1.95409e+06
108 2861 308988 675 1.93117e+06
109 2815 306835 681.25 1.91772e+06
110 2655 292050 687.5 1.82531e+06
111 2665 295815 693.75 1.84884e+06
112 2559 286608 700 1.7913e+06
113 2464 278432 706.25 1.7402e+06
114 2453 279642 712.5 1.74776e+06
115 2362 271630 718.75 1.69769e+06
116 2329 270164 725 1.68852e+06
117 2258 264186 731.25 1.65116e+06
118 2213 261134 737.5 1.63209e+06
119 2095 249305 743.75 1.55816e+06
120 2046 245520 750 1.5345e+06
121 2051 248171 756.25 1.55107e+06
122 1947 237534 762.5 1.48459e+06
123 1811 222753 768.75 1.39221e+06
124 1831 227044 775 1.41902e+06
125 1810 226250 781.25 1.41406e+06
126 1654 208404 787.5 1.30252e+06
127 1740 220980 793.75 1.38112e+06
128 1591 203648 800 1.2728e+06
129 1616 208464 806.25 1.3029e+06
130 1518 197340 812.5 1.23337e+06
131 1494 195714 818.75 1.22321e+06
132 1457 192324 825 1.20202e+06
133 1359 180747 831.25 1.12967e+06
134 1329 178086 837.5 1.11304e+06
135 1323 178605 843.75 1.11628e+06
136 1280 174080 850 1.088e+06
137 1315 180155 856.25 1.12597e+06
138 1207 166566 862.5 1.04104e+06
139 1166 162074 868.75 1.01296e+06
140 1079 151060 875 944125
141 1109 156369 881.25 977306
142 1033 146686 887.5 916787
143 1022 146146 893.75 913412
144 939 135216 900 845100
145 970 140650 906.25 879062
146 974 142204 912.5 888775
