HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 200557
N_nodos_hoja: 150411
MinRadius: 0.6 m
Area_minima: 1.44 m^2

OBSERVADO: 
N_medio_pts/nodo: 319
__min: 0
__max: 1942
Densidad_media: 221.728
__min: 0
__max: 1348.61

ESTIMADO: 
N_medio_pts/nodo: 175.84
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i

0 5155 0 0 0
1 195 195 0.694444 135.417
2 145 290 1.38889 201.389
3 111 333 2.08333 231.25
4 91 364 2.77778 252.778
5 88 440 3.47222 305.556
6 85 510 4.16667 354.167
7 86 602 4.86111 418.056
8 78 624 5.55556 433.333
9 69 621 6.25 431.25
10 70 700 6.94444 486.111
11 63 693 7.63889 481.25
12 79 948 8.33333 658.333
13 64 832 9.02778 577.778
14 80 1120 9.72222 777.778
15 69 1035 10.4167 718.75
16 55 880 11.1111 611.111
17 71 1207 11.8056 838.194
18 67 1206 12.5 837.5
19 71 1349 13.1944 936.805
20 61 1220 13.8889 847.222
21 60 1260 14.5833 875
22 57 1254 15.2778 870.833
23 56 1288 15.9722 894.444
24 51 1224 16.6667 850
25 51 1275 17.3611 885.417
26 59 1534 18.0556 1065.28
27 55 1485 18.75 1031.25
28 68 1904 19.4444 1322.22
29 58 1682 20.1389 1168.06
30 60 1800 20.8333 1250
31 63 1953 21.5278 1356.25
32 51 1632 22.2222 1133.33
33 69 2277 22.9167 1581.25
34 59 2006 23.6111 1393.06
35 50 1750 24.3056 1215.28
36 51 1836 25 1275
37 59 2183 25.6944 1515.97
38 62 2356 26.3889 1636.11
39 64 2496 27.0833 1733.33
40 69 2760 27.7778 1916.67
41 69 2829 28.4722 1964.58
42 54 2268 29.1667 1575
43 49 2107 29.8611 1463.19
44 70 3080 30.5556 2138.89
45 54 2430 31.25 1687.5
46 47 2162 31.9444 1501.39
47 60 2820 32.6389 1958.33
48 61 2928 33.3333 2033.33
49 55 2695 34.0278 1871.53
50 65 3250 34.7222 2256.94
51 61 3111 35.4167 2160.42
52 66 3432 36.1111 2383.33
53 68 3604 36.8056 2502.78
54 75 4050 37.5 2812.5
55 67 3685 38.1944 2559.03
56 71 3976 38.8889 2761.11
57 53 3021 39.5833 2097.92
58 66 3828 40.2778 2658.33
59 83 4897 40.9722 3400.69
60 69 4140 41.6667 2875
61 50 3050 42.3611 2118.06
62 70 4340 43.0556 3013.89
63 46 2898 43.75 2012.5
64 93 5952 44.4444 4133.33
65 66 4290 45.1389 2979.17
66 73 4818 45.8333 3345.83
67 76 5092 46.5278 3536.11
68 62 4216 47.2222 2927.78
69 73 5037 47.9167 3497.92
70 76 5320 48.6111 3694.44
71 92 6532 49.3056 4536.11
72 57 4104 50 2850
73 74 5402 50.6944 3751.39
74 78 5772 51.3889 4008.33
75 82 6150 52.0833 4270.83
76 63 4788 52.7778 3325
77 75 5775 53.4722 4010.42
78 89 6942 54.1667 4820.83
79 79 6241 54.8611 4334.03
80 80 6400 55.5556 4444.44
81 87 7047 56.25 4893.75
82 79 6478 56.9444 4498.61
83 82 6806 57.6389 4726.39
84 90 7560 58.3333 5250
85 81 6885 59.0278 4781.25
86 91 7826 59.7222 5434.72
87 99 8613 60.4167 5981.25
88 86 7568 61.1111 5255.56
89 98 8722 61.8056 6056.94
90 98 8820 62.5 6125
91 124 11284 63.1944 7836.11
92 112 10304 63.8889 7155.55
93 147 13671 64.5833 9493.75
94 158 14852 65.2778 10313.9
95 155 14725 65.9722 10225.7
96 141 13536 66.6667 9400
97 161 15617 67.3611 10845.1
98 169 16562 68.0556 11501.4
99 183 18117 68.75 12581.2
100 162 16200 69.4444 11250
101 194 19594 70.1389 13606.9
102 258 26316 70.8333 18275
103 249 25647 71.5278 17810.4
104 251 26104 72.2222 18127.8
105 277 29085 72.9167 20197.9
106 317 33602 73.6111 23334.7
107 289 30923 74.3055 21474.3
108 288 31104 75 21600
109 317 34553 75.6944 23995.1
110 329 36190 76.3889 25131.9
111 322 35742 77.0833 24820.8
112 339 37968 77.7778 26366.7
113 378 42714 78.4722 29662.5
114 388 44232 79.1667 30716.7
115 367 42205 79.8611 29309
116 384 44544 80.5555 30933.3
117 379 44343 81.25 30793.7
118 358 42244 81.9444 29336.1
119 363 43197 82.6389 29997.9
120 360 43200 83.3333 30000
121 394 47674 84.0278 33106.9
122 376 45872 84.7222 31855.6
123 385 47355 85.4167 32885.4
124 423 52452 86.1111 36425
125 392 49000 86.8055 34027.8
126 394 49644 87.5 34475
127 419 53213 88.1944 36953.5
128 465 59520 88.8889 41333.3
129 463 59727 89.5833 41477.1
130 511 66430 90.2778 46131.9
131 421 55151 90.9722 38299.3
132 483 63756 91.6667 44275
133 501 66633 92.3611 46272.9
134 470 62980 93.0555 43736.1
135 402 54270 93.75 37687.5
136 488 66368 94.4444 46088.9
137 438 60006 95.1389 41670.8
