HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 35955649
N_nodos_hoja: 26966737
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 0
__min: 0
__max: 195
Densidad_media: 18.8938
__min: 0
__max: 4875

ESTIMADO: 
N_medio_pts/nodo: 0.302947
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i

0 13857413 0 0 0
1 9311995 9311995 25 2.328e+08
2 2407861 4815722 50 1.20393e+08
3 770492 2311476 75 5.77869e+07
4 274046 1096184 100 2.74046e+07
5 121292 606460 125 1.51615e+07
6 63706 382236 150 9.5559e+06
7 38961 272727 175 6.81817e+06
8 25988 207904 200 5.1976e+06
9 18368 165312 225 4.1328e+06
10 13429 134290 250 3.35725e+06
11 9727 106997 275 2.67492e+06
12 7714 92568 300 2.3142e+06
13 6336 82368 325 2.0592e+06
14 5212 72968 350 1.8242e+06
15 4242 63630 375 1.59075e+06
16 3666 58656 400 1.4664e+06
17 3216 54672 425 1.3668e+06
18 2887 51966 450 1.29915e+06
19 2468 46892 475 1.1723e+06
20 2208 44160 500 1.104e+06
21 2036 42756 525 1.0689e+06
22 1838 40436 550 1.0109e+06
23 1764 40572 575 1.0143e+06
24 1547 37128 600 928200
25 1554 38850 625 971250
26 1234 32084 650 802100
27 1146 30942 675 773550
28 977 27356 700 683900
29 874 25346 725 633650
30 687 20610 750 515250
31 531 16461 775 411525
32 410 13120 800 328000
33 267 8811 825 220275
34 144 4896 850 122400
35 115 4025 875 100625
36 73 2628 900 65700
37 59 2183 925 54575
38 46 1748 950 43700
39 40 1560 975 39000
40 20 800 1000 20000
41 26 1066 1025 26650
42 9 378 1050 9450
43 11 473 1075 11825
44 9 396 1100 9900
45 12 540 1125 13500
46 6 276 1150 6900
47 2 94 1175 2350
48 5 240 1200 6000
49 2 98 1225 2450
50 4 200 1250 5000
51 2 102 1275 2550
52 1 52 1300 1300
53 2 106 1325 2650
54 2 108 1350 2700
55 2 110 1375 2750
56 4 224 1400 5600
57 3 171 1425 4275
58 2 116 1450 2900
59 2 118 1475 2950
60 3 180 1500 4500
61 3 183 1525 4575
62 2 124 1550 3100
63 1 63 1575 1575
64 1 64 1600 1600
65 2 130 1625 3250
66 1 66 1650 1650
70 1 70 1750 1750
72 1 72 1800 1800
74 2 148 1850 3700
75 1 75 1875 1875
77 2 154 1925 3850
79 1 79 1975 1975
82 1 82 2050 2050
83 2 166 2075 4150
85 2 170 2125 4250
87 1 87 2175 2175
90 1 90 2250 2250
91 1 91 2275 2275
96 1 96 2400 2400
99 1 99 2475 2475
103 1 103 2575 2575
105 2 210 2625 5250
110 1 110 2750 2750
119 1 119 2975 2975
135 1 135 3375 3375
149 1 149 3725 3725
174 1 174 4350 4350
177 1 177 4425 4425
188 1 188 4700 4700
195 1 195 4875 4875


HISTOGRAM_DE_NIVELES:
Nodos_hoja_analizados: 26966737

x_i n_i

8 37564
9 758
10 1584
11 3669
12 455346
13 26467816


