HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 3108597
N_nodos_hoja: 2331448
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 20
__min: 0
__max: 439
Densidad_media: 514.964
__min: 0
__max: 10975

ESTIMADO: 
N_medio_pts/nodo: 4.88443
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i

0 71661 0 0 0
1 14699 14699 25 367475
2 14921 29842 50 746050
3 16895 50685 75 1.26712e+06
4 22462 89848 100 2.2462e+06
5 32485 162425 125 4.06062e+06
6 51135 306810 150 7.67025e+06
7 69624 487368 175 1.21842e+07
8 92838 742704 200 1.85676e+07
9 132877 1195893 225 2.98973e+07
10 93261 932610 250 2.33152e+07
11 85173 936903 275 2.34226e+07
12 84971 1019652 300 2.54913e+07
13 84815 1102595 325 2.75649e+07
14 84166 1178324 350 2.94581e+07
15 82840 1242600 375 3.1065e+07
16 79893 1278288 400 3.19572e+07
17 76191 1295247 425 3.23812e+07
18 71656 1289808 450 3.22452e+07
19 68080 1293520 475 3.2338e+07
20 64663 1293260 500 3.23315e+07
21 60719 1275099 525 3.18775e+07
22 57172 1257784 550 3.14446e+07
23 54085 1243955 575 3.10989e+07
24 51031 1224744 600 3.06186e+07
25 48223 1205575 625 3.01394e+07
26 45731 1189006 650 2.97251e+07
27 43184 1165968 675 2.91492e+07
28 40575 1136100 700 2.84025e+07
29 38480 1115920 725 2.7898e+07
30 35801 1074030 750 2.68507e+07
31 33751 1046281 775 2.6157e+07
32 31329 1002528 800 2.50632e+07
33 29291 966603 825 2.41651e+07
34 27637 939658 850 2.34914e+07
35 25423 889805 875 2.22451e+07
36 23643 851148 900 2.12787e+07
37 21780 805860 925 2.01465e+07
38 20084 763192 950 1.90798e+07
39 18685 728715 975 1.82179e+07
40 17317 692680 1000 1.7317e+07
41 15810 648210 1025 1.62052e+07
42 14369 603498 1050 1.50874e+07
43 13508 580844 1075 1.45211e+07
44 12202 536888 1100 1.34222e+07
45 11439 514755 1125 1.28689e+07
46 10466 481436 1150 1.20359e+07
47 9525 447675 1175 1.11919e+07
48 9083 435984 1200 1.08996e+07
49 8202 401898 1225 1.00474e+07
50 7649 382450 1250 9.56125e+06
51 7083 361233 1275 9.03082e+06
52 6480 336960 1300 8.424e+06
53 5968 316304 1325 7.9076e+06
54 5563 300402 1350 7.51005e+06
55 5233 287815 1375 7.19537e+06
56 4841 271096 1400 6.7774e+06
57 4512 257184 1425 6.4296e+06
58 4267 247486 1450 6.18715e+06
59 3849 227091 1475 5.67727e+06
60 3594 215640 1500 5.391e+06
61 3321 202581 1525 5.06452e+06
62 3136 194432 1550 4.8608e+06
63 2896 182448 1575 4.5612e+06
64 2641 169024 1600 4.2256e+06
65 2489 161785 1625 4.04462e+06
66 2369 156354 1650 3.90885e+06
67 2139 143313 1675 3.58282e+06
68 2031 138108 1700 3.4527e+06
69 1908 131652 1725 3.2913e+06
70 1734 121380 1750 3.0345e+06
71 1611 114381 1775 2.85952e+06
72 1489 107208 1800 2.6802e+06
73 1337 97601 1825 2.44002e+06
74 1300 96200 1850 2.405e+06
75 1222 91650 1875 2.29125e+06
76 1106 84056 1900 2.1014e+06
77 1068 82236 1925 2.0559e+06
78 965 75270 1950 1.88175e+06
79 902 71258 1975 1.78145e+06
80 831 66480 2000 1.662e+06
81 811 65691 2025 1.64227e+06
82 709 58138 2050 1.45345e+06
83 665 55195 2075 1.37987e+06
84 681 57204 2100 1.4301e+06
85 568 48280 2125 1.207e+06
86 522 44892 2150 1.1223e+06
87 538 46806 2175 1.17015e+06
88 490 43120 2200 1.078e+06
89 426 37914 2225 947850
90 458 41220 2250 1.0305e+06
91 396 36036 2275 900900
92 380 34960 2300 874000
93 338 31434 2325 785850
94 314 29516 2350 737900
95 322 30590 2375 764750
96 263 25248 2400 631200
97 234 22698 2425 567450
98 228 22344 2450 558600
99 210 20790 2475 519750
100 257 25700 2500 642500
101 215 21715 2525 542875
102 184 18768 2550 469200
103 160 16480 2575 412000
104 152 15808 2600 395200
105 165 17325 2625 433125
106 137 14522 2650 363050
107 133 14231 2675 355775
108 118 12744 2700 318600
109 119 12971 2725 324275
110 103 11330 2750 283250
111 85 9435 2775 235875
112 101 11312 2800 282800
113 108 12204 2825 305100
114 93 10602 2850 265050
115 83 9545 2875 238625
116 79 9164 2900 229100
117 73 8541 2925 213525
118 55 6490 2950 162250
119 59 7021 2975 175525
120 44 5280 3000 132000
121 49 5929 3025 148225
122 47 5734 3050 143350
123 49 6027 3075 150675
124 46 5704 3100 142600
125 33 4125 3125 103125
126 40 5040 3150 126000
127 35 4445 3175 111125
128 35 4480 3200 112000
129 38 4902 3225 122550
130 24 3120 3250 78000
131 35 4585 3275 114625
132 23 3036 3300 75900
133 25 3325 3325 83125
134 23 3082 3350 77050
135 32 4320 3375 108000
136 18 2448 3400 61200
137 26 3562 3425 89050
138 25 3450 3450 86250
139 24 3336 3475 83400
140 15 2100 3500 52500
141 17 2397 3525 59925
142 22 3124 3550 78100
143 18 2574 3575 64350
144 12 1728 3600 43200
145 10 1450 3625 36250
146 6 876 3650 21900
147 10 1470 3675 36750
148 13 1924 3700 48100
149 8 1192 3725 29800
150 10 1500 3750 37500
151 6 906 3775 22650
152 11 1672 3800 41800
153 7 1071 3825 26775
154 8 1232 3850 30800
155 2 310 3875 7750
156 8 1248 3900 31200
157 6 942 3925 23550
158 7 1106 3950 27650
159 5 795 3975 19875
160 9 1440 4000 36000
161 8 1288 4025 32200
162 2 324 4050 8100
163 6 978 4075 24450
164 5 820 4100 20500
165 3 495 4125 12375
166 4 664 4150 16600
167 2 334 4175 8350
168 3 504 4200 12600
169 5 845 4225 21125
170 5 850 4250 21250
171 3 513 4275 12825
172 5 860 4300 21500
173 3 519 4325 12975
174 2 348 4350 8700
175 2 350 4375 8750
176 5 880 4400 22000
177 5 885 4425 22125
178 1 178 4450 4450
179 1 179 4475 4475
180 3 540 4500 13500
182 2 364 4550 9100
183 4 732 4575 18300
184 3 552 4600 13800
185 2 370 4625 9250
186 2 372 4650 9300
187 1 187 4675 4675
188 2 376 4700 9400
189 1 189 4725 4725
190 2 380 4750 9500
192 2 384 4800 9600
194 3 582 4850 14550
195 2 390 4875 9750
196 2 392 4900 9800
198 1 198 4950 4950
200 1 200 5000 5000
203 1 203 5075 5075
205 2 410 5125 10250
206 1 206 5150 5150
209 2 418 5225 10450
210 1 210 5250 5250
211 1 211 5275 5275
212 2 424 5300 10600
213 1 213 5325 5325
215 2 430 5375 10750
216 2 432 5400 10800
218 1 218 5450 5450
219 2 438 5475 10950
221 1 221 5525 5525
222 2 444 5550 11100
223 1 223 5575 5575
228 1 228 5700 5700
229 1 229 5725 5725
232 1 232 5800 5800
233 1 233 5825 5825
237 1 237 5925 5925
241 1 241 6025 6025
244 1 244 6100 6100
245 1 245 6125 6125
254 1 254 6350 6350
257 1 257 6425 6425
258 2 516 6450 12900
260 2 520 6500 13000
261 1 261 6525 6525
266 1 266 6650 6650
271 1 271 6775 6775
284 1 284 7100 7100
287 1 287 7175 7175
288 1 288 7200 7200
305 1 305 7625 7625
309 1 309 7725 7725
317 1 317 7925 7925
325 1 325 8125 8125
439 1 439 10975 10975


HISTOGRAM_DE_NIVELES:
Nodos_hoja_analizados: 2331448

x_i n_i

8 28627
9 2380
10 7885
11 2292556


