HISTOGRAM: ../bin/data/ArzuaH_salida.xyz.csv
N_puntos: 40706503
N_nodos: 22311889
N_nodos_hoja: 16733917
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 2
__min: 0
__max: 652
Densidad_media: 60.8144
__min: 0
__max: 16300

ESTIMADO: 
N_medio_pts/nodo: 1.62829
Densidad_media: 40.7073

x_i n_i x_i*n_i rho_i rho_i*n_i

0 1809851 0 0 0
1 5653480 5653480 25 1.41337e+08
2 4521414 9042828 50 2.26071e+08
3 1866958 5600874 75 1.40022e+08
4 968973 3875892 100 9.68973e+07
5 543963 2719815 125 6.79954e+07
6 361509 2169054 150 5.42263e+07
7 250110 1750770 175 4.37692e+07
8 179532 1436256 200 3.59064e+07
9 129365 1164285 225 2.91071e+07
10 94060 940600 250 2.3515e+07
11 69458 764038 275 1.91009e+07
12 51373 616476 300 1.54119e+07
13 38282 497666 325 1.24416e+07
14 29192 408688 350 1.02172e+07
15 22740 341100 375 8.5275e+06
16 18182 290912 400 7.2728e+06
17 14813 251821 425 6.29552e+06
18 12234 220212 450 5.5053e+06
19 10302 195738 475 4.89345e+06
20 9104 182080 500 4.552e+06
21 7826 164346 525 4.10865e+06
22 6816 149952 550 3.7488e+06
23 5834 134182 575 3.35455e+06
24 5237 125688 600 3.1422e+06
25 4735 118375 625 2.95937e+06
26 4243 110318 650 2.75795e+06
27 3790 102330 675 2.55825e+06
28 3324 93072 700 2.3268e+06
29 2931 84999 725 2.12497e+06
30 2698 80940 750 2.0235e+06
31 2431 75361 775 1.88402e+06
32 2252 72064 800 1.8016e+06
33 2035 67155 825 1.67887e+06
34 1891 64294 850 1.60735e+06
35 1778 62230 875 1.55575e+06
36 1590 57240 900 1.431e+06
37 1380 51060 925 1.2765e+06
38 1262 47956 950 1.1989e+06
39 1180 46020 975 1.1505e+06
40 1072 42880 1000 1.072e+06
41 987 40467 1025 1.01167e+06
42 888 37296 1050 932400
43 903 38829 1075 970725
44 750 33000 1100 825000
45 702 31590 1125 789750
46 668 30728 1150 768200
47 635 29845 1175 746125
48 623 29904 1200 747600
49 547 26803 1225 670075
50 556 27800 1250 695000
51 485 24735 1275 618375
52 454 23608 1300 590200
53 437 23161 1325 579025
54 440 23760 1350 594000
55 382 21010 1375 525250
56 326 18256 1400 456400
57 347 19779 1425 494475
58 318 18444 1450 461100
59 278 16402 1475 410050
60 281 16860 1500 421500
61 262 15982 1525 399550
62 217 13454 1550 336350
63 209 13167 1575 329175
64 178 11392 1600 284800
65 148 9620 1625 240500
66 139 9174 1650 229350
67 140 9380 1675 234500
68 149 10132 1700 253300
69 131 9039 1725 225975
70 109 7630 1750 190750
71 125 8875 1775 221875
72 113 8136 1800 203400
73 77 5621 1825 140525
74 100 7400 1850 185000
75 86 6450 1875 161250
76 81 6156 1900 153900
77 81 6237 1925 155925
78 90 7020 1950 175500
79 57 4503 1975 112575
80 72 5760 2000 144000
81 59 4779 2025 119475
82 57 4674 2050 116850
83 36 2988 2075 74700
84 31 2604 2100 65100
85 39 3315 2125 82875
86 48 4128 2150 103200
87 46 4002 2175 100050
88 41 3608 2200 90200
89 18 1602 2225 40050
90 26 2340 2250 58500
91 27 2457 2275 61425
92 35 3220 2300 80500
93 30 2790 2325 69750
94 27 2538 2350 63450
95 30 2850 2375 71250
96 18 1728 2400 43200
97 17 1649 2425 41225
98 24 2352 2450 58800
99 23 2277 2475 56925
100 19 1900 2500 47500
101 14 1414 2525 35350
102 18 1836 2550 45900
103 16 1648 2575 41200
104 12 1248 2600 31200
105 18 1890 2625 47250
106 15 1590 2650 39750
107 7 749 2675 18725
108 13 1404 2700 35100
109 9 981 2725 24525
110 12 1320 2750 33000
111 16 1776 2775 44400
112 15 1680 2800 42000
113 9 1017 2825 25425
114 9 1026 2850 25650
115 9 1035 2875 25875
116 3 348 2900 8700
117 14 1638 2925 40950
118 6 708 2950 17700
119 5 595 2975 14875
120 13 1560 3000 39000
121 8 968 3025 24200
122 6 732 3050 18300
123 10 1230 3075 30750
124 15 1860 3100 46500
125 9 1125 3125 28125
126 6 756 3150 18900
127 2 254 3175 6350
128 3 384 3200 9600
129 5 645 3225 16125
130 9 1170 3250 29250
131 6 786 3275 19650
132 3 396 3300 9900
133 7 931 3325 23275
134 7 938 3350 23450
135 4 540 3375 13500
136 4 544 3400 13600
137 5 685 3425 17125
138 5 690 3450 17250
139 6 834 3475 20850
140 5 700 3500 17500
141 3 423 3525 10575
142 3 426 3550 10650
143 2 286 3575 7150
144 5 720 3600 18000
145 1 145 3625 3625
146 2 292 3650 7300
147 1 147 3675 3675
148 3 444 3700 11100
149 2 298 3725 7450
150 3 450 3750 11250
151 1 151 3775 3775
152 1 152 3800 3800
154 4 616 3850 15400
155 4 620 3875 15500
156 2 312 3900 7800
157 1 157 3925 3925
158 2 316 3950 7900
159 1 159 3975 3975
160 3 480 4000 12000
161 1 161 4025 4025
162 2 324 4050 8100
163 2 326 4075 8150
165 4 660 4125 16500
166 3 498 4150 12450
167 3 501 4175 12525
168 3 504 4200 12600
170 2 340 4250 8500
171 3 513 4275 12825
173 1 173 4325 4325
175 3 525 4375 13125
176 3 528 4400 13200
177 1 177 4425 4425
178 1 178 4450 4450
180 1 180 4500 4500
181 1 181 4525 4525
182 1 182 4550 4550
183 1 183 4575 4575
184 2 368 4600 9200
185 2 370 4625 9250
186 3 558 4650 13950
188 1 188 4700 4700
195 1 195 4875 4875
196 3 588 4900 14700
199 1 199 4975 4975
