Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
Baseline;AlcoyH;5.19148;1.39330;0;0
Baseline;ArzuaH;6.01136;1.56190;0;0
Baseline;BrionFH;6.55485;4.43180;0;0
Baseline;BrionUH;7.39611;5.34530;0;0
Base-REV1;AlcoyH;5.17009;1.39060;1;0
Base-REV1;ArzuaH;5.99886;1.55380;1;0
Base-REV1;BrionFH;6.52508;4.72390;1;0
Base-REV1;BrionUH;7.36860;5.25800;1;0
Base-REV1collap;AlcoyH;5.15761;2.02070;2;0
Base-REV1collap;ArzuaH;5.99966;1.90570;1;0
Base-REV1collap;BrionFH;6.52760;2.60400;1;0
Base-REV1collap;BrionUH;7.36586;2.85900;1;0
Opt1-Quadtree;AlcoyH;3.50135;0.81150;0;0
Opt1-Quadtree;ArzuaH;3.70044;0.73860;0;0
Opt1-Quadtree;BrionFH;4.44696;2.04990;0;0
Opt1-Quadtree;BrionUH;4.94137;2.45540;0;0
Opt1-REV1-Quadtree;AlcoyH;3.44812;1.03580;8;0
Opt1-REV1-Quadtree;ArzuaH;3.64479;0.85390;8;0
Opt1-REV1-Quadtree;BrionFH;4.42525;1.59130;1;0
Opt1-REV1-Quadtree;BrionUH;4.92108;1.74560;1;0
Opt2-Par;AlcoyH;0.25988;0.80152;8;0
Opt2-Par;ArzuaH;0.31595;0.62510;7;0
Opt2-Par;BrionFH;0.50742;0.84602;8;0
Opt2-Par;BrionUH;0.56400;1.03357;8;0
Opt3-MemoA;Alcoy;0.25711;0.49491;8;0
Opt3-MemoA;Arzua;0.30848;0.34174;6;0
Opt3-MemoA;BrionF;0.50761;0.62499;8;0
Opt3-MemoA;BrionU;0.55232;0.75223;7;0
Opt3-MemoB;Alcoy;0.37611;0.51001;8;0
Opt3-MemoB;Arzua;0.39810;0.35983;6;0
Opt3-MemoB;BrionF;0.47427;0.24590;5;0
Opt3-MemoB;BrionU;0.50404;0.28975;4;0
Opt3-Memo;Alcoy;0.36997;0.29937;7;0
Opt3-Memo;Arzua;0.39853;0.20226;6;0
Opt3-Memo;BrionF;0.48360;0.17085;5;0
Opt3-Memo;BrionU;0.52944;0.21054;4;0
Opt4-MinRad;Alcoy;0.064780;0.115346;5;1.4
Opt4-MinRad;Arzua;0.120715;0.117976;6;0.7
Opt4-MinRad;BrionF;0.398463;0.174331;5;0.1
Opt4-MinRad;BrionU;0.465190;0.205902;5;0.1
Opt4-MaxNum;Alcoy;0.077804;0.160019;5;256
Opt4-MaxNum;Arzua;0.138752;0.126494;6;256
Opt4-MaxNum;BrionF;0.410958;0.196587;5;64
Opt4-MaxNum;BrionU;0.469414;0.216663;6;64
