Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
owm-sycl-cpu;Alcoy;0.20055;0.10346;0;512
owm-sycl-cpu;Arzua;0.46687;0.07993;0;128
owm-sycl-cpu;BrionF;0.53078;0.03990;0;128
owm-sycl-cpu;BrionU;0.59526;0.05883;0;256
owm-sycl-cpu-nomemo;Alcoy;0.20184;0.10025;0;256
owm-sycl-cpu-nomemo;Arzua;0.44639;0.12082;0;256
owm-sycl-cpu-nomemo;BrionF;0.52034;0.07291;0;512
owm-sycl-cpu-nomemo;BrionU;0.59167;0.08174;0;512
owm-sycl-igpu;Alcoy;0.79265;0.40957;0;32
owm-sycl-igpu;Arzua;1.72632;0.41759;0;16
owm-sycl-igpu;BrionF;1.79623;0.27393;0;32
owm-sycl-igpu;BrionU;2.04636;0.26968;0;32
owm-sycl-igpu-nomemo;Alcoy;0.78157;0.60475;0;64
owm-sycl-igpu-nomemo;Arzua;1.62109;1.19486;0;128
owm-sycl-igpu-nomemo;BrionF;1.76098;1.17241;0;128
owm-sycl-igpu-nomemo;BrionU;1.99689;1.26052;0;256
owm-sycl-dgpu;Alcoy;0.03357;0.02134;0;512
owm-sycl-dgpu;Arzua;0.07474;0.02678;0;128
owm-sycl-dgpu;BrionF;0.08397;0.03010;0;128
owm-sycl-dgpu;BrionU;0.09462;0.03337;0;128
owm-sycl-dgpu-nomemo;Alcoy;0.03434;0.02107;0;256
owm-sycl-dgpu-nomemo;Arzua;0.06807;0.04344;0;1024
owm-sycl-dgpu-nomemo;BrionF;0.07734;0.07111;0;1024
owm-sycl-dgpu-nomemo;BrionU;0.08695;0.07795;0;1024
owm-cuda;Alcoy;0.01292;0.08261;0;16
owm-cuda;Arzua;0.03139;0.11522;0;8
owm-cuda;BrionF;0.03909;0.07285;0;8
owm-cuda;BrionU;0.04414;0.07873;0;8
owm-cuda-grid;Alcoy;0.01414;0.08333;0;8
owm-cuda-grid;Arzua;0.02643;0.11549;0;8
owm-cuda-grid;BrionF;0.03441;0.07270;0;8
owm-cuda-grid;BrionU;0.03519;0.08907;0;16
owm-cuda-nomemo;Alcoy;0.01161;0.09554;0;128
owm-cuda-nomemo;Arzua;0.02230;0.21483;0;512
owm-cuda-nomemo;BrionF;0.02935;0.27869;0;256
owm-cuda-nomemo;BrionU;0.03314;0.32533;0;256
