ExecName InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 2 3.499570 5.545021 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 2 1.863238 2.816045 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 2 1.082472 1.493099 99.8585
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 2 1.047514 1.063250 99.683
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 2 0.886418 0.825492 99.4819
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 2 0.900121 0.729962 99.4887
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 2 0.924092 0.698511 99.1529
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 2 0.972378 0.679459 98.6859
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 2 0.949070 0.647480 98.8956
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 3 3.353264 5.523228 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 3 1.757272 2.827842 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 3 1.004634 1.479252 99.8415
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 3 0.694941 1.021805 99.5841
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 3 0.533421 0.793421 99.6983
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 3 0.504923 0.698875 99.4393
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 3 0.487850 0.641238 99.1478
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 3 0.406487 0.579392 99.3506
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 3 0.415111 0.567676 98.5087
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 4 3.206378 5.501597 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 4 1.654190 2.813546 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 4 0.864081 1.463866 99.8739
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 4 0.628898 1.012023 99.4972
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 4 0.485077 0.791719 99.6591
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 4 0.407281 0.679906 99.5091
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 4 0.364350 0.610612 99.4529
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 4 0.344297 0.565859 99.1359
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 4 0.316325 0.534281 98.8052
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 5 3.037755 5.476236 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 5 1.571501 2.794256 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 5 0.812622 1.454227 99.758
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 5 0.565267 1.004675 99.7171
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 5 0.436756 0.776154 99.1137
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 5 0.374905 0.677297 99.6404
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 5 0.326076 0.599288 99.2211
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 5 0.302327 0.559867 99.1393
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 5 0.274191 0.522013 98.6348
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 6 2.843698 5.449925 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 6 1.465062 2.786161 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 6 0.763815 1.446780 99.8585
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 6 0.527403 0.997520 99.7103
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 6 0.411962 0.768979 99.758
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 6 0.351200 0.673860 99.5006
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 6 0.306998 0.605165 99.095
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 6 0.283175 0.556825 99.2416
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 6 0.264273 0.520345 98.9501
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 7 2.732442 5.425560 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 7 1.409622 2.765762 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 7 0.730633 1.433208 99.7972
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 7 0.503674 0.983751 99.5756
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 7 0.393017 0.761998 99.4648
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 7 0.335547 0.658462 98.8564
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 7 0.299180 0.594141 99.2364
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 7 0.277010 0.543604 99.2041
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 7 0.252972 0.509290 99.1666
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 8 2.694133 5.429887 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 8 1.400948 2.758099 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 8 0.735015 1.416748 99.7853
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 8 0.514376 0.979032 99.6864
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 8 0.401703 0.755828 99.591
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 8 0.346514 0.648878 99.5398
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 8 0.303964 0.585784 98.8444
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 8 0.281325 0.534013 99.0762
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 8 0.257106 0.494910 98.9501
../bin/o3memoA ../bin/data/AlcoyH.xyz 1 0.1 32 9 2.843994 5.504236 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 2 0.1 32 9 1.503495 2.796921 99.8858
../bin/o3memoA ../bin/data/AlcoyH.xyz 4 0.1 32 9 0.801946 1.429801 99.8892
../bin/o3memoA ../bin/data/AlcoyH.xyz 6 0.1 32 9 0.573986 0.975424 99.4171
../bin/o3memoA ../bin/data/AlcoyH.xyz 8 0.1 32 9 0.458042 0.754475 99.7426
../bin/o3memoA ../bin/data/AlcoyH.xyz 10 0.1 32 9 0.403687 0.648453 99.2705
../bin/o3memoA ../bin/data/AlcoyH.xyz 12 0.1 32 9 0.360761 0.583270 99.3234
../bin/o3memoA ../bin/data/AlcoyH.xyz 14 0.1 32 9 0.339491 0.540070 99.1666
../bin/o3memoA ../bin/data/AlcoyH.xyz 16 0.1 32 9 0.314516 0.493292 99.1921
../bin/o3memoA ../bin/data/ArzuaH.xyz 1 0.1 32 2 4.166739 3.640249 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 2 0.1 32 2 2.186232 1.855643 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 4 0.1 32 2 1.461992 0.975779 99.1575
../bin/o3memoA ../bin/data/ArzuaH.xyz 6 0.1 32 2 1.133627 0.675837 99.1033
../bin/o3memoA ../bin/data/ArzuaH.xyz 8 0.1 32 2 0.917596 0.532760 98.9514
../bin/o3memoA ../bin/data/ArzuaH.xyz 10 0.1 32 2 0.891851 0.468961 99.1611
../bin/o3memoA ../bin/data/ArzuaH.xyz 12 0.1 32 2 0.904177 0.430070 98.8574
../bin/o3memoA ../bin/data/ArzuaH.xyz 14 0.1 32 2 0.896954 0.409618 99.0418
../bin/o3memoA ../bin/data/ArzuaH.xyz 16 0.1 32 2 0.794833 0.393174 98.9189
../bin/o3memoA ../bin/data/ArzuaH.xyz 1 0.1 32 3 4.010781 3.641064 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 2 0.1 32 3 2.073146 1.855637 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 4 0.1 32 3 1.125637 0.958458 99.1069
../bin/o3memoA ../bin/data/ArzuaH.xyz 6 0.1 32 3 0.783333 0.660117 99.096
../bin/o3memoA ../bin/data/ArzuaH.xyz 8 0.1 32 3 0.645666 0.510397 99.0924
../bin/o3memoA ../bin/data/ArzuaH.xyz 10 0.1 32 3 0.531151 0.444790 98.4271
../bin/o3memoA ../bin/data/ArzuaH.xyz 12 0.1 32 3 0.564307 0.416782 99.0924
../bin/o3memoA ../bin/data/ArzuaH.xyz 14 0.1 32 3 0.435777 0.375285 98.8719
../bin/o3memoA ../bin/data/ArzuaH.xyz 16 0.1 32 3 0.420660 0.352729 98.9225
../bin/o3memoA ../bin/data/ArzuaH.xyz 1 0.1 32 4 3.842804 3.647377 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 2 0.1 32 4 1.964370 1.855882 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 4 0.1 32 4 1.018881 0.953812 99.1684
../bin/o3memoA ../bin/data/ArzuaH.xyz 6 0.1 32 4 0.696689 0.654798 99.1177
../bin/o3memoA ../bin/data/ArzuaH.xyz 8 0.1 32 4 0.542679 0.508610 98.9478
../bin/o3memoA ../bin/data/ArzuaH.xyz 10 0.1 32 4 0.476940 0.443853 98.6766
../bin/o3memoA ../bin/data/ArzuaH.xyz 12 0.1 32 4 0.409904 0.405960 98.8899
../bin/o3memoA ../bin/data/ArzuaH.xyz 14 0.1 32 4 0.397402 0.372678 98.8032
../bin/o3memoA ../bin/data/ArzuaH.xyz 16 0.1 32 4 0.358380 0.353005 98.1451
../bin/o3memoA ../bin/data/ArzuaH.xyz 1 0.1 32 5 3.715712 3.641132 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 2 0.1 32 5 1.888288 1.854293 99.1792
../bin/o3memoA ../bin/data/ArzuaH.xyz 4 0.1 32 5 0.978565 0.954181 99.0671
../bin/o3memoA ../bin/data/ArzuaH.xyz 6 0.1 32 5 0.662672 0.655364 99.1467
../bin/o3memoA ../bin/data/ArzuaH.xyz 8 0.1 32 5 0.514674 0.505851 98.7345
../bin/o3memoA ../bin/data/ArzuaH.xyz 10 0.1 32 5 0.439785 0.443901 99.0924
../bin/o3memoA ../bin/data/ArzuaH.xyz 12 0.1 32 5 0.396155 0.402319 99.1394
../bin/o3memoA ../bin/data/ArzuaH.xyz 14 0.1 32 5 0.353000 0.371491 99.1503
