ExecName InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 2 4.181249 3.611161 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 2 2.244045 2.104905 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 2 1.467466 1.184510 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 2 1.234603 0.881586 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 2 1.243724 0.720986 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 2 1.086956 0.665154 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 2 1.138134 0.612562 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 2 1.119450 0.569566 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 2 1.097172 0.535755 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 3 4.025266 3.600952 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 3 2.119790 2.080980 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 3 1.186129 1.149649 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 3 0.892866 0.874230 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 3 0.734628 0.714830 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 3 0.629321 0.645728 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 3 0.604854 0.599284 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 3 0.578744 0.551796 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 3 0.545889 0.528337 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 4 3.856930 3.582101 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 4 2.002109 2.059495 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 4 1.081164 1.169238 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 4 0.788406 0.863178 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 4 0.635828 0.705787 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 4 0.561395 0.643946 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 4 0.510419 0.595972 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 4 0.471993 0.552315 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 4 0.440938 0.525134 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 5 3.671763 3.557327 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 5 1.912608 2.008793 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 5 1.020377 1.153768 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 5 0.740741 0.857721 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 5 0.587640 0.697516 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 5 0.511703 0.641125 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 5 0.455528 0.582400 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 5 0.423798 0.552958 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 5 0.406611 0.516365 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 6 3.453874 3.528768 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 6 1.799390 2.009135 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 6 0.966359 1.138840 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 6 0.694123 0.847630 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 6 0.569291 0.704754 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 6 0.486011 0.639979 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 6 0.440953 0.584622 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 6 0.409302 0.550641 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 6 0.387719 0.521290 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 7 3.316480 3.492723 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 7 1.728571 1.965335 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 7 0.918963 1.111716 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 7 0.666977 0.835696 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 7 0.529997 0.694365 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 7 0.462900 0.629750 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 7 0.426501 0.582955 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 7 0.400482 0.542169 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 7 0.381139 0.515487 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 8 3.272996 3.475097 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 8 1.709847 1.934055 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 8 0.928722 1.097548 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 8 0.672532 0.821759 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 8 0.542800 0.682518 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 8 0.475230 0.615079 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 8 0.429928 0.574601 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 8 0.405918 0.536290 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 8 0.376108 0.510008 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 1 0.1 32 9 3.470568 3.515265 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 2 0.1 32 9 1.839676 1.956432 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 4 0.1 32 9 1.014372 1.099114 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 6 0.1 32 9 0.746413 0.822910 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 8 0.1 32 9 0.606854 0.687098 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 10 0.1 32 9 0.538996 0.622513 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 12 0.1 32 9 0.500768 0.574299 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 14 0.1 32 9 0.464100 0.531148 100
../bin/o3memoB ../bin/data/AlcoyH.xyz 16 0.1 32 9 0.443153 0.509007 100
../bin/o3memoB ../bin/data/ArzuaH.xyz 1 0.1 32 2 4.658779 2.375843 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 2 0.1 32 2 2.452660 1.335525 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 4 0.1 32 2 1.475160 0.762105 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 6 0.1 32 2 1.369036 0.597147 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 8 0.1 32 2 1.047721 0.486422 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 10 0.1 32 2 1.044382 0.449073 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 12 0.1 32 2 1.017731 0.417908 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 14 0.1 32 2 0.930833 0.397566 99.9783
../bin/o3memoB ../bin/data/ArzuaH.xyz 16 0.1 32 2 0.831045 0.383137 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 1 0.1 32 3 4.473789 2.373933 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 2 0.1 32 3 2.315234 1.335293 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 4 0.1 32 3 1.241500 0.754741 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 6 0.1 32 3 0.934668 0.578785 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 8 0.1 32 3 0.722421 0.478672 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 10 0.1 32 3 0.643269 0.437704 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 12 0.1 32 3 0.626916 0.412018 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 14 0.1 32 3 0.583847 0.386710 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 16 0.1 32 3 0.564319 0.365859 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 1 0.1 32 4 4.318071 2.373103 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 2 0.1 32 4 2.216562 1.334599 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 4 0.1 32 4 1.175856 0.752102 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 6 0.1 32 4 0.820101 0.570331 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 8 0.1 32 4 0.648788 0.478831 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 10 0.1 32 4 0.582068 0.438106 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 12 0.1 32 4 0.513285 0.406757 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 14 0.1 32 4 0.484616 0.380317 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 16 0.1 32 4 0.468587 0.363109 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 1 0.1 32 5 4.170706 2.370543 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 2 0.1 32 5 2.140915 1.334100 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 4 0.1 32 5 1.131316 0.754866 99.9819
../bin/o3memoB ../bin/data/ArzuaH.xyz 6 0.1 32 5 0.786038 0.570250 99.9819
