Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
Baseline;AlcoyH;6.05892;1.56430;0;0
Baseline;ArzuaH;6.98105;2.04360;0;0
Baseline;BrionFH;7.44587;2.65510;0;0
Baseline;BrionUH;8.40300;2.81500;0;0
Base-REV1;AlcoyH;6.01631;1.63240;1;0
Base-REV1;ArzuaH;6.99840;1.99000;1;0
Base-REV1;BrionFH;7.37491;2.54830;1;0
Base-REV1;BrionUH;8.31602;2.80420;1;0
Base-REV1collap;AlcoyH;6.05709;1.51620;12;0
Base-REV1collap;ArzuaH;6.98007;1.77380;8;0
Base-REV1collap;BrionFH;7.38600;2.07360;14;0
Base-REV1collap;BrionUH;8.31964;2.27370;2;0
Opt1-Quadtree;AlcoyH;4.20234;0.98380;0;0
Opt1-Quadtree;ArzuaH;4.30671;0.66530;0;0
Opt1-Quadtree;BrionFH;5.14146;1.77440;0;0
Opt1-Quadtree;BrionUH;5.73522;2.15570;0;0
Opt1-REV1-Quadtree;AlcoyH;4.21370;0.68930;8;0
Opt1-REV1-Quadtree;ArzuaH;4.28397;0.59280;8;0
Opt1-REV1-Quadtree;BrionFH;5.14988;1.30660;3;0
Opt1-REV1-Quadtree;BrionUH;5.74204;1.60350;3;0
Opt2-Par;AlcoyH;0.57166;0.52866;8;0
Opt2-Par;ArzuaH;0.48137;0.33798;6;0
Opt2-Par;BrionFH;0.34040;0.42294;7;0
Opt2-Par;BrionUH;0.36912;0.52640;7;0
Opt3-MemoA;Alcoy;0.56402;0.36103;7;0
Opt3-MemoA;Arzua;0.49739;0.22873;6;0
Opt3-MemoA;BrionF;0.33391;0.33824;7;0
Opt3-MemoA;BrionU;0.35362;0.34154;8;0
Opt3-MemoB;Alcoy;0.68112;0.30470;4;0
Opt3-MemoB;Arzua;0.53616;0.22132;5;0
Opt3-MemoB;BrionF;0.35429;0.13347;7;0
Opt3-MemoB;BrionU;0.40816;0.14409;7;0
Opt3-Memo;Alcoy;0.72082;0.22406;4;0
Opt3-Memo;Arzua;0.57600;0.16158;7;0
Opt3-Memo;BrionF;0.36298;0.09239;7;0
Opt3-Memo;BrionU;0.39955;0.11191;7;0
Opt4-MinRad;Alcoy;0.107705;0.093488;7;1.1
Opt4-MinRad;Arzua;0.181916;0.090596;5;0.9
Opt4-MinRad;BrionF;0.302037;0.112939;7;0.3
Opt4-MinRad;BrionU;0.331173;0.141543;7;0.2
Opt4-MaxNum;Alcoy;0.129037;0.173589;7;1024
Opt4-MaxNum;Arzua;0.228996;0.098470;7;128
Opt4-MaxNum;BrionF;0.373560;0.061516;7;32
Opt4-MaxNum;BrionU;0.379598;0.110616;7;128
