ExecName InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 3 0.435755 0.210153 97.6156
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 3 0.539117 0.168902 97.0958
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 3 0.614338 0.188271 95.9317
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 3 0.636678 0.184169 94.2086
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 3 0.614731 0.183639 94.8102
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 4 0.396408 0.237718 97.0344
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 4 0.357828 0.186514 96.9287
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 4 0.419506 0.209150 96.3714
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 4 0.361527 0.171325 95.6283
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 4 0.391108 0.166229 94.8034
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 5 0.347260 0.238793 98.2956
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 5 0.387730 0.234413 97.1656
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 5 0.318317 0.174818 96.5998
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 5 0.326367 0.186886 95.8789
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 5 0.350874 0.167108 94.7506
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 6 0.345831 0.189865 97.9224
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 6 0.296882 0.168355 97.3207
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 6 0.319300 0.189106 96.4958
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 6 0.325290 0.167444 94.817
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 6 0.394787 0.164875 95.296
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 7 0.309433 0.232992 97.89
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 7 0.264723 0.173701 97.0924
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 7 0.299880 0.160765 96.0936
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 7 0.304768 0.164499 95.4528
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 7 0.307970 0.166573 94.7352
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 8 0.270112 0.185095 97.9701
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 8 0.315636 0.194858 97.3991
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 8 0.307600 0.185719 96.2282
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 8 0.319765 0.163917 95.0778
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 8 0.332121 0.159442 94.3006
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 8 9 0.433582 0.211750 98.2479
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 8 9 0.390717 0.186677 95.9999
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 8 9 0.390162 0.194005 95.4306
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 8 9 0.443202 0.158894 94.1984
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 8 9 0.413093 0.152577 95.1494
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 16 3 0.467406 0.184880 97.994
../bin/o4maxnum ../bin/data/AlcoyH.xyz 48 0.1 16 3 0.428634 0.180180 96.8861
../bin/o4maxnum ../bin/data/AlcoyH.xyz 64 0.1 16 3 0.454581 0.151563 95.5414
../bin/o4maxnum ../bin/data/AlcoyH.xyz 80 0.1 16 3 0.480658 0.174968 95.2499
../bin/o4maxnum ../bin/data/AlcoyH.xyz 96 0.1 16 3 0.575670 0.196794 94.754
../bin/o4maxnum ../bin/data/AlcoyH.xyz 32 0.1 16 4 0.262006 0.167000 97.9053
