Optimization;Cloud;TimeTree;TimeOWM;Level;MinRadMaxNum
Baseline;AlcoyH;4.73640;3.71490;0;0
Baseline;ArzuaH;5.73984;4.08170;0;0
Baseline;BrionFH;5.87186;6.44080;0;0
Baseline;BrionUH;6.65016;7.37410;0;0
Opt1-Quadtree;AlcoyH;3.17047;1.97330;0;0
Opt1-Quadtree;ArzuaH;3.77238;1.70540;0;0
Opt1-Quadtree;BrionFH;4.05499;2.84500;0;0
Opt1-Quadtree;BrionUH;4.48602;3.70610;0;0
Opt1-REV1-Quadtree;AlcoyH;3.19412;2.35880;8;0
Opt1-REV1-Quadtree;ArzuaH;3.77328;1.94300;6;0
Opt1-REV1-Quadtree;BrionFH;4.07338;2.69200;1;0
Opt1-REV1-Quadtree;BrionUH;4.48042;3.08810;1;0
Opt2-Par;AlcoyH;0.53494;1.82757;8;0
Opt2-Par;ArzuaH;0.68923;1.36547;7;0
Opt2-Par;BrionFH;0.85739;1.83522;6;0
Opt2-Par;BrionUH;0.86608;2.22683;5;0
Opt3-MemoA;Alcoy;0.51403;1.17985;7;0
Opt3-MemoA;Arzua;0.68843;0.75809;7;0
Opt3-MemoA;BrionF;0.79340;1.18722;5;0
Opt3-MemoA;BrionU;0.85149;1.36559;5;0
Opt3-MemoB;Alcoy;0.71811;0.84711;8;0
Opt3-MemoB;Arzua;0.83847;0.58796;6;0
Opt3-MemoB;BrionF;0.75460;0.39865;4;0
Opt3-MemoB;BrionU;0.89711;0.45804;4;0
Opt3-Memo;Alcoy;0.71105;0.55737;7;0
Opt3-Memo;Arzua;0.84445;0.37345;7;0
Opt3-Memo;BrionF;0.77538;0.27264;4;0
Opt3-Memo;BrionU;0.91410;0.31857;5;0
Opt4-MinRad;Alcoy;0.153864;0.196672;5;0.9
Opt4-MinRad;Arzua;0.247633;0.233844;5;0.6
Opt4-MinRad;BrionF;0.609469;0.360664;5;0.1
Opt4-MinRad;BrionU;0.707275;0.426105;5;0.1
Opt4-MaxNum;Alcoy;0.168834;0.246768;7;128
Opt4-MaxNum;Arzua;0.294066;0.219046;7;256
Opt4-MaxNum;BrionF;0.762351;0.343452;6;32
Opt4-MaxNum;BrionU;0.897612;0.338061;4;64
