ExecName InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 2 3.754185 2.589381 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 2 2.166935 1.392340 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 2 1.543745 0.957227 99.7818
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 2 1.285420 0.694780 99.591
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 2 1.323996 0.586533 99.6591
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 3 3.689794 2.585094 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 3 2.053578 1.436368 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 3 1.405263 0.967875 99.8415
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 3 1.045665 0.701017 99.654
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 3 0.897900 0.571103 99.6881
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 4 3.583396 2.580142 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 4 2.016596 1.410115 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 4 1.329670 0.949629 99.879
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 4 0.956866 0.684439 99.6216
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 4 0.807691 0.567307 99.4682
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 5 3.441325 2.576530 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 5 1.923783 1.389279 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 5 1.290084 0.944648 99.8619
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 5 0.928142 0.682511 99.7051
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 5 0.748399 0.563840 99.5177
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 6 3.374994 2.573322 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 6 1.869427 1.382294 99.8824
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 6 1.247888 0.958528 99.758
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 6 0.892119 0.682079 99.7699
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 6 0.726885 0.563075 99.5688
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 7 3.349921 2.578398 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 7 1.859191 1.397424 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 7 1.236590 0.941460 99.833
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 7 0.878961 0.675907 99.6932
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 7 0.711045 0.557370 99.4342
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 8 3.352779 2.595768 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 8 1.880493 1.436659 99.8824
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 8 1.238045 0.941902 99.7938
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 8 0.897273 0.673194 99.7017
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 8 0.724229 0.550475 99.395
../bin/o3memo ../bin/data/AlcoyH.xyz 1 0.1 32 9 3.522318 2.665491 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 2 0.1 32 9 1.972727 1.413703 99.8892
../bin/o3memo ../bin/data/AlcoyH.xyz 4 0.1 32 9 1.338091 0.962322 99.8637
../bin/o3memo ../bin/data/AlcoyH.xyz 6 0.1 32 9 0.974697 0.700538 99.5961
../bin/o3memo ../bin/data/AlcoyH.xyz 8 0.1 32 9 0.793436 0.557227 99.3813
../bin/o3memo ../bin/data/ArzuaH.xyz 1 0.1 32 2 4.441616 1.784021 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 2 0.1 32 2 2.491899 0.983239 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 4 0.1 32 2 1.956421 0.658656 99.1611
../bin/o3memo ../bin/data/ArzuaH.xyz 6 0.1 32 2 1.552207 0.469260 98.8646
../bin/o3memo ../bin/data/ArzuaH.xyz 8 0.1 32 2 1.342611 0.388839 98.9984
../bin/o3memo ../bin/data/ArzuaH.xyz 1 0.1 32 3 4.335065 1.781084 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 2 0.1 32 3 2.417182 0.941944 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 4 0.1 32 3 1.652204 0.654860 99.1828
../bin/o3memo ../bin/data/ArzuaH.xyz 6 0.1 32 3 1.226605 0.462759 99.1647
../bin/o3memo ../bin/data/ArzuaH.xyz 8 0.1 32 3 0.969089 0.379842 99.1828
../bin/o3memo ../bin/data/ArzuaH.xyz 1 0.1 32 4 4.256962 1.781775 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 2 0.1 32 4 2.332200 0.941832 99.1792
../bin/o3memo ../bin/data/ArzuaH.xyz 4 0.1 32 4 1.576645 0.643677 99.1828
../bin/o3memo ../bin/data/ArzuaH.xyz 6 0.1 32 4 1.108950 0.460120 98.72
../bin/o3memo ../bin/data/ArzuaH.xyz 8 0.1 32 4 0.904368 0.377362 98.7959
