ExecName InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 3 0.588717 0.347458 99.3626
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 3 0.505849 0.292400 99.3046
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 4 0.522131 0.341815 99.7699
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 4 0.410645 0.286493 99.2603
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 5 0.490199 0.340691 99.5858
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 5 0.387805 0.286348 98.7047
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 6 0.477800 0.340671 99.7546
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 6 0.371803 0.283251 99.1103
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 7 0.474528 0.339705 99.8432
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 7 0.366723 0.276137 99.2364
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 8 0.486037 0.336211 99.6966
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 8 0.381637 0.273443 99.1461
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 8 9 0.557420 0.348192 99.625
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 8 9 0.440980 0.281580 99.2552
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 3 0.518705 0.316997 99.4444
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 3 0.437302 0.263245 98.9961
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 4 0.433782 0.314583 99.6949
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 4 0.350824 0.258564 98.9706
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 5 0.407082 0.313069 99.5313
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 5 0.313616 0.257007 98.8564
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 6 0.395942 0.313988 99.6864
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 6 0.301024 0.256464 99.3012
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 7 0.392852 0.309890 99.5705
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 7 0.300821 0.251863 99.3745
../bin/o4maxnum ../bin/data/AlcoyH.xyz 8 0.1 16 8 0.402805 0.310132 99.6796
../bin/o4maxnum ../bin/data/AlcoyH.xyz 16 0.1 16 8 0.309979 0.251764 99.1359
