InputFile NumThreads MinRadius MaxNumber Level TreeTime OwmTime Correctness
../bin/data/AlcoyH.xyz 1 0.1 32 2 3.009373 10.862225 100
../bin/data/AlcoyH.xyz 2 0.1 32 2 1.602303 5.614735 100
../bin/data/AlcoyH.xyz 4 0.1 32 2 1.319921 3.761905 100
../bin/data/AlcoyH.xyz 6 0.1 32 2 1.168130 2.627208 100
../bin/data/AlcoyH.xyz 8 0.1 32 2 1.074336 2.041370 100
../bin/data/AlcoyH.xyz 1 0.1 32 3 2.916950 10.781587 100
../bin/data/AlcoyH.xyz 2 0.1 32 3 1.580320 5.702218 100
../bin/data/AlcoyH.xyz 4 0.1 32 3 1.106781 3.712319 100
../bin/data/AlcoyH.xyz 6 0.1 32 3 0.838083 2.536395 100
../bin/data/AlcoyH.xyz 8 0.1 32 3 0.681891 1.975094 100
../bin/data/AlcoyH.xyz 1 0.1 32 4 2.848591 10.871698 100
../bin/data/AlcoyH.xyz 2 0.1 32 4 1.518270 5.628749 100
../bin/data/AlcoyH.xyz 4 0.1 32 4 1.034119 3.650343 100
../bin/data/AlcoyH.xyz 6 0.1 32 4 0.717146 2.500397 100
../bin/data/AlcoyH.xyz 8 0.1 32 4 0.565844 1.919161 100
../bin/data/AlcoyH.xyz 1 0.1 32 5 2.718701 10.603767 100
../bin/data/AlcoyH.xyz 2 0.1 32 5 1.471639 5.653397 100
../bin/data/AlcoyH.xyz 4 0.1 32 5 1.002941 3.625589 100
../bin/data/AlcoyH.xyz 6 0.1 32 5 0.695867 2.483996 100
../bin/data/AlcoyH.xyz 8 0.1 32 5 0.534761 1.899641 100
../bin/data/AlcoyH.xyz 1 0.1 32 6 2.697797 10.603273 100
../bin/data/AlcoyH.xyz 2 0.1 32 6 1.441854 5.614888 100
../bin/data/AlcoyH.xyz 4 0.1 32 6 0.983829 3.622266 100
../bin/data/AlcoyH.xyz 6 0.1 32 6 0.670361 2.466560 100
../bin/data/AlcoyH.xyz 8 0.1 32 6 0.515168 1.880178 100
../bin/data/AlcoyH.xyz 1 0.1 32 7 2.661872 10.406347 100
../bin/data/AlcoyH.xyz 2 0.1 32 7 1.409295 5.521159 100
../bin/data/AlcoyH.xyz 4 0.1 32 7 0.971640 3.581048 100
../bin/data/AlcoyH.xyz 6 0.1 32 7 0.659852 2.434573 100
../bin/data/AlcoyH.xyz 8 0.1 32 7 0.507533 1.857493 100
../bin/data/AlcoyH.xyz 1 0.1 32 8 2.717514 10.403237 100
../bin/data/AlcoyH.xyz 2 0.1 32 8 1.424236 5.492406 100
../bin/data/AlcoyH.xyz 4 0.1 32 8 0.978317 3.541495 100
../bin/data/AlcoyH.xyz 6 0.1 32 8 0.680266 2.414242 100
../bin/data/AlcoyH.xyz 8 0.1 32 8 0.525837 1.853455 100
../bin/data/AlcoyH.xyz 1 0.1 32 9 2.867628 10.406261 100
../bin/data/AlcoyH.xyz 2 0.1 32 9 1.515570 5.399271 100
../bin/data/AlcoyH.xyz 4 0.1 32 9 1.073567 3.549173 100
../bin/data/AlcoyH.xyz 6 0.1 32 9 0.757127 2.412491 100
../bin/data/AlcoyH.xyz 8 0.1 32 9 0.596840 1.844217 100
../bin/data/ArzuaH.xyz 1 0.1 32 2 3.867094 7.954285 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 2 2.107247 4.085885 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 2 1.720944 2.729093 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 2 1.313317 1.873485 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 2 1.147035 1.458991 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 3 3.773242 7.981429 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 3 1.964312 4.123052 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 3 1.422795 2.681398 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 3 0.983982 1.830903 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 3 0.780770 1.421438 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 4 3.737619 7.910088 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 4 1.992922 4.178731 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 4 1.350507 2.678268 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 4 0.936246 1.826924 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 4 0.722257 1.404800 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 5 3.706336 7.937927 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 5 1.937244 4.131634 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 5 1.323309 2.679338 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 5 0.898024 1.817725 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 5 0.689082 1.398222 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 6 3.688308 7.875667 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 6 1.957684 4.110437 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 6 1.324731 2.663924 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 6 0.891430 1.818287 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 6 0.681375 1.393623 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 7 3.684477 7.808711 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 7 1.960867 3.998950 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 7 1.323504 2.644119 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 7 0.893913 1.800741 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 7 0.683816 1.381413 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 8 3.735854 7.849324 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 8 1.919502 3.950393 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 8 1.355519 2.630616 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 8 0.918460 1.781593 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 8 0.709794 1.367868 99.9819
../bin/data/ArzuaH.xyz 1 0.1 32 9 3.955206 7.654719 99.9819
../bin/data/ArzuaH.xyz 2 0.1 32 9 2.132401 3.977352 99.9819
../bin/data/ArzuaH.xyz 4 0.1 32 9 1.465590 2.583238 99.9819
../bin/data/ArzuaH.xyz 6 0.1 32 9 1.045853 1.760193 99.9819
../bin/data/ArzuaH.xyz 8 0.1 32 9 0.811336 1.344493 99.9819
../bin/data/BrionFH.xyz 1 0.1 32 2 3.312536 4.337291 100
../bin/data/BrionFH.xyz 2 0.1 32 2 1.785692 2.582399 100
../bin/data/BrionFH.xyz 4 0.1 32 2 1.428012 1.890605 100
../bin/data/BrionFH.xyz 6 0.1 32 2 1.706132 1.731672 100
../bin/data/BrionFH.xyz 8 0.1 32 2 1.311026 2.054930 100
../bin/data/BrionFH.xyz 1 0.1 32 3 3.244993 4.343992 100
../bin/data/BrionFH.xyz 2 0.1 32 3 1.746234 2.530143 100
../bin/data/BrionFH.xyz 4 0.1 32 3 1.255781 1.813688 100
../bin/data/BrionFH.xyz 6 0.1 32 3 1.103353 1.683419 100
../bin/data/BrionFH.xyz 8 0.1 32 3 0.951135 2.000570 100
../bin/data/BrionFH.xyz 1 0.1 32 4 3.526102 4.187497 100
../bin/data/BrionFH.xyz 2 0.1 32 4 1.852919 2.397452 100
../bin/data/BrionFH.xyz 4 0.1 32 4 1.302570 1.757969 100
../bin/data/BrionFH.xyz 6 0.1 32 4 0.919382 1.605601 100
../bin/data/BrionFH.xyz 8 0.1 32 4 0.771331 1.944191 100
../bin/data/BrionFH.xyz 1 0.1 32 5 4.119819 3.997451 100
../bin/data/BrionFH.xyz 2 0.1 32 5 2.189437 2.386268 100
../bin/data/BrionFH.xyz 4 0.1 32 5 1.403347 1.665652 100
../bin/data/BrionFH.xyz 6 0.1 32 5 1.004499 1.554836 100
../bin/data/BrionFH.xyz 8 0.1 32 5 0.782061 1.881580 100
../bin/data/BrionFH.xyz 1 0.1 32 6 4.523329 4.065127 100
../bin/data/BrionFH.xyz 2 0.1 32 6 2.413769 2.300540 100
../bin/data/BrionFH.xyz 4 0.1 32 6 1.546821 1.628229 100
../bin/data/BrionFH.xyz 6 0.1 32 6 1.101929 1.512107 100
../bin/data/BrionFH.xyz 8 0.1 32 6 0.857726 1.832602 100
../bin/data/BrionFH.xyz 1 0.1 32 7 4.916204 4.027885 100
../bin/data/BrionFH.xyz 2 0.1 32 7 2.533005 2.261015 100
../bin/data/BrionFH.xyz 4 0.1 32 7 1.685813 1.602022 100
../bin/data/BrionFH.xyz 6 0.1 32 7 1.182642 1.484931 100
../bin/data/BrionFH.xyz 8 0.1 32 7 0.931859 1.800942 100
../bin/data/BrionFH.xyz 1 0.1 32 8 4.877128 3.818257 100
../bin/data/BrionFH.xyz 2 0.1 32 8 2.609496 2.360204 100
../bin/data/BrionFH.xyz 4 0.1 32 8 1.705814 1.631567 100
../bin/data/BrionFH.xyz 6 0.1 32 8 1.186616 1.462080 100
../bin/data/BrionFH.xyz 8 0.1 32 8 0.941264 1.795802 100
