HISTOGRAM: ../bin/data/ArzuaH_salida.xyz.csv
N_puntos: 40706503
N_nodos: 224485
N_nodos_hoja: 168357
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 241
__min: 0
__max: 512
Densidad_media: 6044.66
__min: 0
__max: 12800

ESTIMADO: 
N_medio_pts/nodo: 1.62829
Densidad_media: 40.7073

x_i n_i x_i*n_i rho_i rho_i*n_i

0 1 0 0 0
12 2 24 300 600
14 1 14 350 350
15 2 30 375 750
16 2 32 400 800
17 3 51 425 1275
18 6 108 450 2700
19 7 133 475 3325
20 5 100 500 2500
21 11 231 525 5775
22 9 198 550 4950
23 7 161 575 4025
24 7 168 600 4200
25 16 400 625 10000
26 11 286 650 7150
27 17 459 675 11475
28 19 532 700 13300
29 25 725 725 18125
30 44 1320 750 33000
31 32 992 775 24800
32 24 768 800 19200
33 24 792 825 19800
34 26 884 850 22100
35 37 1295 875 32375
36 27 972 900 24300
37 34 1258 925 31450
38 30 1140 950 28500
39 32 1248 975 31200
40 16 640 1000 16000
41 21 861 1025 21525
42 37 1554 1050 38850
43 25 1075 1075 26875
44 35 1540 1100 38500
45 15 675 1125 16875
46 23 1058 1150 26450
47 31 1457 1175 36425
48 26 1248 1200 31200
49 30 1470 1225 36750
50 33 1650 1250 41250
51 18 918 1275 22950
52 23 1196 1300 29900
53 37 1961 1325 49025
54 36 1944 1350 48600
55 35 1925 1375 48125
56 33 1848 1400 46200
57 35 1995 1425 49875
58 39 2262 1450 56550
59 36 2124 1475 53100
60 42 2520 1500 63000
61 25 1525 1525 38125
62 32 1984 1550 49600
63 32 2016 1575 50400
64 40 2560 1600 64000
65 41 2665 1625 66625
66 41 2706 1650 67650
67 34 2278 1675 56950
68 38 2584 1700 64600
69 41 2829 1725 70725
70 40 2800 1750 70000
71 44 3124 1775 78100
72 52 3744 1800 93600
73 54 3942 1825 98550
74 49 3626 1850 90650
75 38 2850 1875 71250
76 63 4788 1900 119700
77 61 4697 1925 117425
78 59 4602 1950 115050
79 54 4266 1975 106650
80 66 5280 2000 132000
81 76 6156 2025 153900
82 60 4920 2050 123000
83 76 6308 2075 157700
84 74 6216 2100 155400
85 77 6545 2125 163625
86 110 9460 2150 236500
87 98 8526 2175 213150
88 86 7568 2200 189200
89 113 10057 2225 251425
90 94 8460 2250 211500
91 130 11830 2275 295750
92 103 9476 2300 236900
93 101 9393 2325 234825
94 126 11844 2350 296100
95 123 11685 2375 292125
96 126 12096 2400 302400
97 151 14647 2425 366175
98 129 12642 2450 316050
99 161 15939 2475 398475
100 172 17200 2500 430000
101 187 18887 2525 472175
102 177 18054 2550 451350
103 170 17510 2575 437750
104 185 19240 2600 481000
105 205 21525 2625 538125
106 215 22790 2650 569750
107 240 25680 2675 642000
108 243 26244 2700 656100
109 290 31610 2725 790250
110 267 29370 2750 734250
111 287 31857 2775 796425
112 300 33600 2800 840000
113 340 38420 2825 960500
114 323 36822 2850 920550
115 380 43700 2875 1.0925e+06
116 355 41180 2900 1.0295e+06
117 375 43875 2925 1.09687e+06
118 378 44604 2950 1.1151e+06
119 457 54383 2975 1.35957e+06
120 551 66120 3000 1.653e+06
121 559 67639 3025 1.69097e+06
122 538 65636 3050 1.6409e+06
123 598 73554 3075 1.83885e+06
124 675 83700 3100 2.0925e+06
125 759 94875 3125 2.37187e+06
126 830 104580 3150 2.6145e+06
127 965 122555 3175 3.06387e+06
128 1061 135808 3200 3.3952e+06
129 1062 136998 3225 3.42495e+06
130 1237 160810 3250 4.02025e+06
131 1176 154056 3275 3.8514e+06
132 1309 172788 3300 4.3197e+06
133 1312 174496 3325 4.3624e+06
134 1305 174870 3350 4.37175e+06
135 1322 178470 3375 4.46175e+06
136 1244 169184 3400 4.2296e+06
137 1253 171661 3425 4.29152e+06
138 1279 176502 3450 4.41255e+06
139 1247 173333 3475 4.33332e+06
140 1131 158340 3500 3.9585e+06
141 1234 173994 3525 4.34985e+06
142 1255 178210 3550 4.45525e+06
143 1180 168740 3575 4.2185e+06
144 1217 175248 3600 4.3812e+06
145 1200 174000 3625 4.35e+06
146 1190 173740 3650 4.3435e+06
147 1200 176400 3675 4.41e+06
148 1105 163540 3700 4.0885e+06
149 1127 167923 3725 4.19807e+06
150 1067 160050 3750 4.00125e+06
151 1108 167308 3775 4.1827e+06
152 1104 167808 3800 4.1952e+06
153 1057 161721 3825 4.04302e+06
154 1049 161546 3850 4.03865e+06
155 1009 156395 3875 3.90987e+06
156 985 153660 3900 3.8415e+06
157 969 152133 3925 3.80332e+06
158 924 145992 3950 3.6498e+06
159 943 149937 3975 3.74842e+06
160 972 155520 4000 3.888e+06
161 902 145222 4025 3.63055e+06
162 906 146772 4050 3.6693e+06
163 843 137409 4075 3.43522e+06
164 851 139564 4100 3.4891e+06
165 844 139260 4125 3.4815e+06
166 873 144918 4150 3.62295e+06
167 856 142952 4175 3.5738e+06
168 804 135072 4200 3.3768e+06
169 805 136045 4225 3.40112e+06
170 830 141100 4250 3.5275e+06
171 782 133722 4275 3.34305e+06
172 748 128656 4300 3.2164e+06
173 793 137189 4325 3.42972e+06
174 725 126150 4350 3.15375e+06
175 747 130725 4375 3.26812e+06
176 763 134288 4400 3.3572e+06
177 674 119298 4425 2.98245e+06
178 772 137416 4450 3.4354e+06
179 680 121720 4475 3.043e+06
180 697 125460 4500 3.1365e+06
181 695 125795 4525 3.14487e+06
182 683 124306 4550 3.10765e+06
183 700 128100 4575 3.2025e+06
184 644 118496 4600 2.9624e+06
185 643 118955 4625 2.97387e+06
186 624 116064 4650 2.9016e+06
187 661 123607 4675 3.09017e+06
188 609 114492 4700 2.8623e+06
189 592 111888 4725 2.7972e+06
190 595 113050 4750 2.82625e+06
191 571 109061 4775 2.72652e+06
192 588 112896 4800 2.8224e+06
193 562 108466 4825 2.71165e+06
194 530 102820 4850 2.5705e+06
195 543 105885 4875 2.64712e+06
196 547 107212 4900 2.6803e+06
197 531 104607 4925 2.61517e+06
198 526 104148 4950 2.6037e+06
199 524 104276 4975 2.6069e+06
200 558 111600 5000 2.79e+06
201 548 110148 5025 2.7537e+06
202 499 100798 5050 2.51995e+06
203 461 93583 5075 2.33957e+06
204 508 103632 5100 2.5908e+06
205 514 105370 5125 2.63425e+06
206 532 109592 5150 2.7398e+06
207 492 101844 5175 2.5461e+06
208 474 98592 5200 2.4648e+06
209 454 94886 5225 2.37215e+06
210 466 97860 5250 2.4465e+06
211 443 93473 5275 2.33682e+06
212 448 94976 5300 2.3744e+06
213 488 103944 5325 2.5986e+06
214 457 97798 5350 2.44495e+06
215 422 90730 5375 2.26825e+06
216 433 93528 5400 2.3382e+06
217 462 100254 5425 2.50635e+06
218 451 98318 5450 2.45795e+06
219 378 82782 5475 2.06955e+06
220 433 95260 5500 2.3815e+06
221 418 92378 5525 2.30945e+06
222 447 99234 5550 2.48085e+06
223 431 96113 5575 2.40282e+06
224 382 85568 5600 2.1392e+06
225 400 90000 5625 2.25e+06
226 412 93112 5650 2.3278e+06
227 400 90800 5675 2.27e+06
228 408 93024 5700 2.3256e+06
229 402 92058 5725 2.30145e+06
230 404 92920 5750 2.323e+06
231 375 86625 5775 2.16562e+06
232 399 92568 5800 2.3142e+06
233 362 84346 5825 2.10865e+06
234 381 89154 5850 2.22885e+06
235 382 89770 5875 2.24425e+06
236 406 95816 5900 2.3954e+06
237 361 85557 5925 2.13892e+06
238 373 88774 5950 2.21935e+06
239 399 95361 5975 2.38402e+06
240 390 93600 6000 2.34e+06
241 379 91339 6025 2.28347e+06
242 396 95832 6050 2.3958e+06
243 368 89424 6075 2.2356e+06
244 389 94916 6100 2.3729e+06
245 380 93100 6125 2.3275e+06
246 346 85116 6150 2.1279e+06
247 380 93860 6175 2.3465e+06
248 389 96472 6200 2.4118e+06
249 425 105825 6225 2.64562e+06
250 362 90500 6250 2.2625e+06
251 352 88352 6275 2.2088e+06
252 384 96768 6300 2.4192e+06
253 373 94369 6325 2.35922e+06
254 378 96012 6350 2.4003e+06
255 355 90525 6375 2.26312e+06
256 338 86528 6400 2.1632e+06
257 343 88151 6425 2.20377e+06
258 357 92106 6450 2.30265e+06
259 366 94794 6475 2.36985e+06
260 360 93600 6500 2.34e+06
261 358 93438 6525 2.33595e+06
262 334 87508 6550 2.1877e+06
263 359 94417 6575 2.36042e+06
264 366 96624 6600 2.4156e+06
265 365 96725 6625 2.41812e+06
266 338 89908 6650 2.2477e+06
267 359 95853 6675 2.39632e+06
268 360 96480 6700 2.412e+06
269 395 106255 6725 2.65637e+06
270 342 92340 6750 2.3085e+06
271 382 103522 6775 2.58805e+06
272 345 93840 6800 2.346e+06
273 341 93093 6825 2.32732e+06
274 360 98640 6850 2.466e+06
275 329 90475 6875 2.26187e+06
276 357 98532 6900 2.4633e+06
277 314 86978 6925 2.17445e+06
278 347 96466 6950 2.41165e+06
279 357 99603 6975 2.49007e+06
280 322 90160 7000 2.254e+06
281 341 95821 7025 2.39552e+06
282 314 88548 7050 2.2137e+06
283 354 100182 7075 2.50455e+06
284 350 99400 7100 2.485e+06
285 336 95760 7125 2.394e+06
286 352 100672 7150 2.5168e+06
287 357 102459 7175 2.56147e+06
288 319 91872 7200 2.2968e+06
289 352 101728 7225 2.5432e+06
290 347 100630 7250 2.51575e+06
291 315 91665 7275 2.29162e+06
292 351 102492 7300 2.5623e+06
293 365 106945 7325 2.67362e+06
294 363 106722 7350 2.66805e+06
295 338 99710 7375 2.49275e+06
296 351 103896 7400 2.5974e+06
297 364 108108 7425 2.7027e+06
298 334 99532 7450 2.4883e+06
299 351 104949 7475 2.62372e+06
300 340 102000 7500 2.55e+06
301 334 100534 7525 2.51335e+06
302 317 95734 7550 2.39335e+06
303 353 106959 7575 2.67397e+06
304 361 109744 7600 2.7436e+06
305 366 111630 7625 2.79075e+06
306 343 104958 7650 2.62395e+06
307 361 110827 7675 2.77067e+06
308 308 94864 7700 2.3716e+06
309 330 101970 7725 2.54925e+06
310 347 107570 7750 2.68925e+06
