HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 153205
N_nodos_hoja: 114898
MinRadius: 1.4 m
Area_minima: 7.84 m^2

OBSERVADO: 
N_medio_pts/nodo: 177
__min: 0
__max: 3947
Densidad_media: 22.6246
__min: 0
__max: 503.444

ESTIMADO: 
N_medio_pts/nodo: 59.3776
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i

0 3768 0 0 0
1 15 15 0.127551 1.91327
2 10 20 0.255102 2.55102
3 12 36 0.382653 4.59184
4 9 36 0.510204 4.59184
5 3 15 0.637755 1.91327
6 5 30 0.765306 3.82653
7 10 70 0.892857 8.92857
8 8 64 1.02041 8.16327
9 6 54 1.14796 6.88776
10 11 110 1.27551 14.0306
11 6 66 1.40306 8.41837
12 5 60 1.53061 7.65306
13 5 65 1.65816 8.29082
14 9 126 1.78571 16.0714
15 2 30 1.91327 3.82653
16 8 128 2.04082 16.3265
17 4 68 2.16837 8.67347
18 2 36 2.29592 4.59184
19 5 95 2.42347 12.1173
20 10 200 2.55102 25.5102
21 7 147 2.67857 18.75
22 7 154 2.80612 19.6429
23 5 115 2.93367 14.6684
24 9 216 3.06122 27.551
25 7 175 3.18878 22.3214
26 6 156 3.31633 19.898
27 8 216 3.44388 27.551
28 8 224 3.57143 28.5714
29 6 174 3.69898 22.1939
30 7 210 3.82653 26.7857
31 5 155 3.95408 19.7704
32 3 96 4.08163 12.2449
33 4 132 4.20918 16.8367
34 6 204 4.33673 26.0204
35 13 455 4.46429 58.0357
36 4 144 4.59184 18.3673
37 9 333 4.71939 42.4745
38 13 494 4.84694 63.0102
39 7 273 4.97449 34.8214
40 26 1040 5.10204 132.653
41 23 943 5.22959 120.281
42 29 1218 5.35714 155.357
43 50 2150 5.48469 274.235
44 44 1936 5.61225 246.939
45 73 3285 5.7398 419.005
46 66 3036 5.86735 387.245
47 85 3995 5.9949 509.566
48 115 5520 6.12245 704.082
49 107 5243 6.25 668.75
50 149 7450 6.37755 950.255
51 165 8415 6.5051 1073.34
52 191 9932 6.63265 1266.84
53 224 11872 6.7602 1514.29
54 184 9936 6.88776 1267.35
55 239 13145 7.01531 1676.66
56 296 16576 7.14286 2114.29
57 286 16302 7.27041 2079.34
58 351 20358 7.39796 2596.68
59 362 21358 7.52551 2724.23
60 374 22440 7.65306 2862.24
61 389 23729 7.78061 3026.66
62 397 24614 7.90816 3139.54
63 442 27846 8.03571 3551.79
64 527 33728 8.16327 4302.04
65 563 36595 8.29082 4667.73
66 623 41118 8.41837 5244.64
67 680 45560 8.54592 5811.22
68 732 49776 8.67347 6348.98
69 788 54372 8.80102 6935.2
70 921 64470 8.92857 8223.21
71 986 70006 9.05612 8929.34
72 1100 79200 9.18367 10102
73 1151 84023 9.31122 10717.2
74 1236 91464 9.43878 11666.3
75 1334 100050 9.56633 12761.5
76 1343 102068 9.69388 13018.9
77 1323 101871 9.82143 12993.8
78 1465 114270 9.94898 14575.3
79 1427 112733 10.0765 14379.2
