HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 129797
N_nodos_hoja: 97342
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 435
__min: 0
__max: 1024
Densidad_media: 10885.6
__min: 0
__max: 25600

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i

0 1771 0 0 0
1 16 16 25 400
2 7 14 50 350
3 6 18 75 450
4 10 40 100 1000
5 6 30 125 750
6 6 36 150 900
7 6 42 175 1050
8 5 40 200 1000
9 3 27 225 675
10 3 30 250 750
11 3 33 275 825
12 3 36 300 900
13 3 39 325 975
14 3 42 350 1050
15 4 60 375 1500
16 6 96 400 2400
17 2 34 425 850
18 3 54 450 1350
19 2 38 475 950
20 2 40 500 1000
21 2 42 525 1050
22 1 22 550 550
23 5 115 575 2875
24 6 144 600 3600
25 2 50 625 1250
26 3 78 650 1950
27 5 135 675 3375
28 4 112 700 2800
29 2 58 725 1450
30 3 90 750 2250
31 4 124 775 3100
32 6 192 800 4800
33 5 165 825 4125
34 3 102 850 2550
35 3 105 875 2625
36 1 36 900 900
37 5 185 925 4625
38 6 228 950 5700
39 1 39 975 975
40 1 40 1000 1000
41 2 82 1025 2050
42 2 84 1050 2100
43 5 215 1075 5375
44 4 176 1100 4400
45 2 90 1125 2250
46 1 46 1150 1150
47 2 94 1175 2350
48 5 240 1200 6000
49 3 147 1225 3675
50 2 100 1250 2500
51 4 204 1275 5100
52 5 260 1300 6500
53 4 212 1325 5300
54 2 108 1350 2700
55 4 220 1375 5500
56 1 56 1400 1400
57 2 114 1425 2850
58 4 232 1450 5800
59 3 177 1475 4425
60 5 300 1500 7500
61 5 305 1525 7625
62 4 248 1550 6200
63 2 126 1575 3150
64 4 256 1600 6400
65 4 260 1625 6500
66 6 396 1650 9900
67 1 67 1675 1675
68 11 748 1700 18700
69 5 345 1725 8625
