HISTOGRAM: ../bin/data/AlcoyH_salida.xyz.csv
N_puntos: 20380212
N_nodos: 597725
N_nodos_hoja: 448294
MinRadius: 0.9 m
Area_minima: 3.24 m^2

OBSERVADO: 
N_medio_pts/nodo: 45
__min: 0
__max: 1565
Densidad_media: 14.0314
__min: 0
__max: 483.025

ESTIMADO: 
N_medio_pts/nodo: 24.5387
Densidad_media: 7.57367

x_i n_i x_i*n_i rho_i rho_i*n_i

0 5358 0 0 0
1 88 88 0.308642 27.1605
2 53 106 0.617284 32.7161
3 62 186 0.925926 57.4074
4 50 200 1.23457 61.7284
5 49 245 1.54321 75.6173
6 45 270 1.85185 83.3333
7 54 378 2.16049 116.667
8 98 784 2.46914 241.975
9 236 2124 2.77778 655.556
10 666 6660 3.08642 2055.56
11 1306 14366 3.39506 4433.95
12 2319 27828 3.7037 8588.89
13 3663 47619 4.01235 14697.2
14 5571 77994 4.32099 24072.2
15 7889 118335 4.62963 36523.2
16 10839 173424 4.93827 53525.9
17 14350 243950 5.24691 75293.2
18 17888 321984 5.55556 99377.8
19 20197 383743 5.8642 118439
20 20703 414060 6.17284 127796
21 20005 420105 6.48148 129662
22 17402 382844 6.79012 118162
23 15279 351417 7.09877 108462
24 12894 309456 7.40741 95511.1
25 11046 276150 7.71605 85231.5
26 9578 249028 8.02469 76860.5
27 8308 224316 8.33333 69233.3
28 7515 210420 8.64198 64944.4
29 6510 188790 8.95062 58268.5
30 5603 168090 9.25926 51879.6
31 4999 154969 9.5679 47829.9
32 4500 144000 9.87654 44444.4
33 3925 129525 10.1852 39976.9
34 3503 119102 10.4938 36759.9
35 3191 111685 10.8025 34470.7
36 2936 105696 11.1111 32622.2
37 2588 95756 11.4198 29554.3
38 2434 92492 11.7284 28546.9
39 2244 87516 12.037 27011.1
40 2391 95640 12.3457 29518.5
41 2447 100327 12.6543 30965.1
42 2554 107268 12.963 33107.4
43 2766 118938 13.2716 36709.3
44 3003 132132 13.5802 40781.5
45 3129 140805 13.8889 43458.3
46 3457 159022 14.1975 49080.9
47 3826 179822 14.5062 55500.6
48 4249 203952 14.8148 62948.2
49 4419 216531 15.1235 66830.6
50 4780 239000 15.4321 73765.4
51 4861 247911 15.7407 76515.7
52 5038 261976 16.0494 80856.8
53 5056 267968 16.358 82706.2
54 5114 276156 16.6667 85233.3
55 5025 276375 16.9753 85300.9
56 4946 276976 17.284 85486.4
57 4646 264822 17.5926 81735.2
58 4604 267032 17.9012 82417.3
59 4477 264143 18.2099 81525.6
60 4212 252720 18.5185 78000
61 4101 250161 18.8272 77210.2
62 3903 241986 19.1358 74687
63 3643 229509 19.4444 70836.1
64 3555 227520 19.7531 70222.2
65 3438 223470 20.0617 68972.2
66 3251 214566 20.3704 66224.1
67 3202 214534 20.679 66214.2
68 3011 204748 20.9877 63193.8
69 2813 194097 21.2963 59906.5
70 2836 198520 21.6049 61271.6
71 2696 191416 21.9136 59079
72 2512 180864 22.2222 55822.2
73 2509 183157 22.5309 56529.9
74 2450 181300 22.8395 55956.8
75 2304 172800 23.1481 53333.3
76 2126 161576 23.4568 49869.1
77 2037 156849 23.7654 48410.2
78 2037 158886 24.0741 49038.9
79 1969 155551 24.3827 48009.6
80 1743 139440 24.6914 43037
81 1726 139806 25 43150
82 1650 135300 25.3086 41759.3
83 1585 131555 25.6173 40603.4
84 1474 123816 25.9259 38214.8
85 1509 128265 26.2346 39588
86 1359 116874 26.5432 36072.2
87 1304 113448 26.8519 35014.8
88 1260 110880 27.1605 34222.2
89 1239 110271 27.4691 34034.3
90 1218 109620 27.7778 33833.3
91 1108 100828 28.0864 31119.8
92 1066 98072 28.3951 30269.1
93 1011 94023 28.7037 29019.4
94 949 89206 29.0123 27532.7
95 891 84645 29.321 26125
96 859 82464 29.6296 25451.9
97 793 76921 29.9383 23741.1
98 795 77910 30.2469 24046.3
99 798 79002 30.5556 24383.3
100 700 70000 30.8642 21604.9
101 667 67367 31.1728 20792.3
102 666 67932 31.4815 20966.7
103 626 64478 31.7901 19900.6
104 575 59800 32.0988 18456.8
105 625 65625 32.4074 20254.6
106 578 61268 32.7161 18909.9
107 531 56817 33.0247 17536.1
108 522 56376 33.3333 17400
109 511 55699 33.642 17191.1
110 450 49500 33.9506 15277.8
111 444 49284 34.2593 15211.1
112 476 53312 34.5679 16454.3
113 430 48590 34.8765 14996.9
114 422 48108 35.1852 14848.1
115 391 44965 35.4938 13878.1
116 377 43732 35.8025 13497.5
117 394 46098 36.1111 14227.8
118 358 42244 36.4198 13038.3
119 374 44506 36.7284 13736.4
120 383 45960 37.037 14185.2
121 343 41503 37.3457 12809.6
122 290 35380 37.6543 10919.8
123 330 40590 37.963 12527.8
124 286 35464 38.2716 10945.7
125 304 38000 38.5802 11728.4
126 300 37800 38.8889 11666.7
127 271 34417 39.1975 10622.5
128 268 34304 39.5062 10587.7
129 271 34959 39.8148 10789.8
130 263 34190 40.1235 10552.5
131 202 26462 40.4321 8167.28
132 232 30624 40.7407 9451.85
133 225 29925 41.0494 9236.11
134 237 31758 41.358 9801.85
135 218 29430 41.6667 9083.33
136 223 30328 41.9753 9360.49
137 246 33702 42.284 10401.9
138 191 26358 42.5926 8135.19
139 197 27383 42.9012 8451.54
140 235 32900 43.2099 10154.3
141 193 27213 43.5185 8399.07
142 198 28116 43.8272 8677.78
143 182 26026 44.1358 8032.72
144 186 26784 44.4444 8266.67
145 154 22330 44.7531 6891.98
146 173 25258 45.0617 7795.68
147 150 22050 45.3704 6805.56
148 154 22792 45.679 7034.57
149 190 28310 45.9877 8737.65
150 152 22800 46.2963 7037.04
151 188 28388 46.6049 8761.73
152 173 26296 46.9136 8116.05
153 141 21573 47.2222 6658.33
154 158 24332 47.5309 7509.88
155 158 24490 47.8395 7558.64
156 160 24960 48.1482 7703.7
157 144 22608 48.4568 6977.78
158 145 22910 48.7654 7070.99
159 133 21147 49.0741 6526.85
160 129 20640 49.3827 6370.37
161 128 20608 49.6914 6360.49
162 137 22194 50 6850
163 141 22983 50.3086 7093.52
164 114 18696 50.6173 5770.37
165 132 21780 50.9259 6722.22
166 145 24070 51.2346 7429.01
167 110 18370 51.5432 5669.75
168 110 18480 51.8519 5703.7
169 123 20787 52.1605 6415.74
170 99 16830 52.4691 5194.44
171 94 16074 52.7778 4961.11
172 110 18920 53.0864 5839.51
173 120 20760 53.3951 6407.41
174 104 18096 53.7037 5585.19
175 111 19425 54.0123 5995.37
176 107 18832 54.321 5812.35
177 104 18408 54.6296 5681.48
178 104 18512 54.9383 5713.58
179 108 19332 55.2469 5966.67
180 92 16560 55.5556 5111.11
181 84 15204 55.8642 4692.59
182 107 19474 56.1728 6010.49
183 89 16287 56.4815 5026.85
184 87 16008 56.7901 4940.74
185 91 16835 57.0988 5195.99
186 81 15066 57.4074 4650
187 92 17204 57.7161 5309.88
188 93 17484 58.0247 5396.3
189 91 17199 58.3333 5308.33
190 84 15960 58.642 4925.93
191 92 17572 58.9506 5423.46
192 110 21120 59.2593 6518.52
193 81 15633 59.5679 4825
194 75 14550 59.8765 4490.74
195 92 17940 60.1852 5537.04
196 91 17836 60.4938 5504.94
197 96 18912 60.8025 5837.04
198 80 15840 61.1111 4888.89
199 72 14328 61.4198 4422.22
200 91 18200 61.7284 5617.28
201 86 17286 62.037 5335.19
202 80 16160 62.3457 4987.65
203 79 16037 62.6543 4949.69
204 76 15504 62.963 4785.19
205 80 16400 63.2716 5061.73
206 78 16068 63.5803 4959.26
207 82 16974 63.8889 5238.89
208 65 13520 64.1975 4172.84
209 60 12540 64.5062 3870.37
210 74 15540 64.8148 4796.3
211 91 19201 65.1235 5926.23
212 68 14416 65.4321 4449.38
213 70 14910 65.7407 4601.85
214 78 16692 66.0494 5151.85
215 69 14835 66.358 4578.7
216 65 14040 66.6667 4333.33
217 78 16926 66.9753 5224.07
218 82 17876 67.284 5517.28
219 66 14454 67.5926 4461.11
220 78 17160 67.9012 5296.3
221 76 16796 68.2099 5183.95
222 50 11100 68.5185 3425.93
223 71 15833 68.8272 4886.73
224 68 15232 69.1358 4701.23
225 63 14175 69.4444 4375
226 59 13334 69.7531 4115.43
227 62 14074 70.0617 4343.83
228 69 15732 70.3704 4855.56
229 72 16488 70.679 5088.89
230 52 11960 70.9877 3691.36
231 52 12012 71.2963 3707.41
232 85 19720 71.6049 6086.42
233 46 10718 71.9136 3308.02
234 50 11700 72.2222 3611.11
235 57 13395 72.5309 4134.26
236 63 14868 72.8395 4588.89
237 64 15168 73.1482 4681.48
238 64 15232 73.4568 4701.23
239 58 13862 73.7654 4278.4
240 49 11760 74.0741 3629.63
241 64 15424 74.3827 4760.49
242 44 10648 74.6914 3286.42
243 47 11421 75 3525
244 52 12688 75.3086 3916.05
245 39 9555 75.6173 2949.07
246 57 14022 75.9259 4327.78
247 58 14326 76.2346 4421.61
248 51 12648 76.5432 3903.7
249 44 10956 76.8519 3381.48
250 46 11500 77.1605 3549.38
251 36 9036 77.4691 2788.89
252 43 10836 77.7778 3344.44
253 44 11132 78.0864 3435.8
254 36 9144 78.3951 2822.22
255 45 11475 78.7037 3541.67
256 40 10240 79.0123 3160.49
257 48 12336 79.321 3807.41
258 25 6450 79.6296 1990.74
259 36 9324 79.9383 2877.78
260 46 11960 80.2469 3691.36
261 41 10701 80.5556 3302.78
262 39 10218 80.8642 3153.7
263 49 12887 81.1728 3977.47
264 31 8184 81.4815 2525.93
265 35 9275 81.7901 2862.65
266 32 8512 82.0988 2627.16
267 36 9612 82.4074 2966.67
268 29 7772 82.7161 2398.77
269 32 8608 83.0247 2656.79
270 41 11070 83.3333 3416.67
271 35 9485 83.642 2927.47
272 30 8160 83.9506 2518.52
273 28 7644 84.2593 2359.26
274 26 7124 84.5679 2198.77
275 26 7150 84.8765 2206.79
276 20 5520 85.1852 1703.7
277 26 7202 85.4938 2222.84
278 22 6116 85.8025 1887.65
279 27 7533 86.1111 2325
280 24 6720 86.4198 2074.07
281 23 6463 86.7284 1994.75
282 36 10152 87.037 3133.33
283 22 6226 87.3457 1921.61
284 28 7952 87.6543 2454.32
285 20 5700 87.963 1759.26
286 20 5720 88.2716 1765.43
287 22 6314 88.5803 1948.77
288 18 5184 88.8889 1600
289 25 7225 89.1975 2229.94
290 22 6380 89.5062 1969.14
291 19 5529 89.8148 1706.48
292 25 7300 90.1235 2253.09
293 22 6446 90.4321 1989.51
294 19 5586 90.7407 1724.07
295 16 4720 91.0494 1456.79
296 30 8880 91.358 2740.74
297 19 5643 91.6667 1741.67
298 16 4768 91.9753 1471.61
299 27 8073 92.284 2491.67
300 20 6000 92.5926 1851.85
301 15 4515 92.9012 1393.52
302 14 4228 93.2099 1304.94
303 17 5151 93.5185 1589.81
304 20 6080 93.8272 1876.54
305 13 3965 94.1358 1223.77
306 12 3672 94.4444 1133.33
307 17 5219 94.7531 1610.8
308 10 3080 95.0617 950.617
309 19 5871 95.3704 1812.04
310 19 5890 95.679 1817.9
311 17 5287 95.9877 1631.79
312 11 3432 96.2963 1059.26
313 19 5947 96.6049 1835.49
314 13 4082 96.9136 1259.88
315 16 5040 97.2222 1555.56
316 10 3160 97.5309 975.309
317 8 2536 97.8395 782.716
318 11 3498 98.1482 1079.63
319 5 1595 98.4568 492.284
320 12 3840 98.7654 1185.19
321 14 4494 99.0741 1387.04
322 9 2898 99.3827 894.444
323 13 4199 99.6914 1295.99
324 12 3888 100 1200
325 11 3575 100.309 1103.4
326 10 3260 100.617 1006.17
327 10 3270 100.926 1009.26
328 8 2624 101.235 809.877
329 14 4606 101.543 1421.61
330 11 3630 101.852 1120.37
331 7 2317 102.16 715.123
332 7 2324 102.469 717.284
333 5 1665 102.778 513.889
334 9 3006 103.086 927.778
335 8 2680 103.395 827.161
336 5 1680 103.704 518.519
337 5 1685 104.012 520.062
338 7 2366 104.321 730.247
339 9 3051 104.63 941.667
340 7 2380 104.938 734.568
341 7 2387 105.247 736.728
342 8 2736 105.556 844.444
343 8 2744 105.864 846.914
344 8 2752 106.173 849.383
345 7 2415 106.481 745.37
346 3 1038 106.79 320.37
347 8 2776 107.099 856.79
348 7 2436 107.407 751.852
349 9 3141 107.716 969.444
350 12 4200 108.025 1296.3
351 12 4212 108.333 1300
352 11 3872 108.642 1195.06
353 3 1059 108.951 326.852
354 6 2124 109.259 655.556
355 3 1065 109.568 328.704
356 7 2492 109.877 769.136
357 10 3570 110.185 1101.85
358 5 1790 110.494 552.469
359 6 2154 110.802 664.815
360 7 2520 111.111 777.778
361 6 2166 111.42 668.519
362 6 2172 111.728 670.37
363 7 2541 112.037 784.259
364 1 364 112.346 112.346
365 6 2190 112.654 675.926
366 8 2928 112.963 903.704
367 7 2569 113.272 792.901
368 3 1104 113.58 340.741
369 3 1107 113.889 341.667
370 8 2960 114.198 913.58
371 6 2226 114.506 687.037
372 4 1488 114.815 459.259
373 5 1865 115.123 575.617
374 5 1870 115.432 577.161
375 5 1875 115.741 578.704
376 2 752 116.049 232.099
377 5 1885 116.358 581.79
378 5 1890 116.667 583.333
379 7 2653 116.975 818.827
380 2 760 117.284 234.568
381 6 2286 117.593 705.556
383 2 766 118.21 236.42
384 5 1920 118.519 592.593
385 4 1540 118.827 475.309
386 3 1158 119.136 357.407
387 7 2709 119.444 836.111
388 8 3104 119.753 958.025
389 2 778 120.062 240.123
390 3 1170 120.37 361.111
391 4 1564 120.679 482.716
392 5 1960 120.988 604.938
393 3 1179 121.296 363.889
394 7 2758 121.605 851.235
395 5 1975 121.914 609.568
396 1 396 122.222 122.222
397 4 1588 122.531 490.123
398 2 796 122.84 245.679
399 3 1197 123.148 369.444
400 2 800 123.457 246.914
401 4 1604 123.765 495.062
402 5 2010 124.074 620.37
403 2 806 124.383 248.765
404 3 1212 124.691 374.074
405 2 810 125 250
406 3 1218 125.309 375.926
407 2 814 125.617 251.235
408 1 408 125.926 125.926
409 10 4090 126.235 1262.35
410 1 410 126.543 126.543
411 1 411 126.852 126.852
412 2 824 127.161 254.321
413 3 1239 127.469 382.407
414 1 414 127.778 127.778
415 2 830 128.086 256.173
418 5 2090 129.012 645.062
419 2 838 129.321 258.642
420 2 840 129.63 259.259
421 1 421 129.938 129.938
422 3 1266 130.247 390.741
423 2 846 130.556 261.111
424 1 424 130.864 130.864
425 1 425 131.173 131.173
426 3 1278 131.481 394.444
427 4 1708 131.79 527.161
428 3 1284 132.099 396.296
429 3 1287 132.407 397.222
430 1 430 132.716 132.716
434 1 434 133.951 133.951
435 2 870 134.259 268.519
437 1 437 134.877 134.877
439 3 1317 135.494 406.482
441 1 441 136.111 136.111
444 2 888 137.037 274.074
445 2 890 137.346 274.691
446 4 1784 137.654 550.617
447 1 447 137.963 137.963
449 2 898 138.58 277.161
450 1 450 138.889 138.889
451 1 451 139.198 139.198
452 3 1356 139.506 418.519
453 1 453 139.815 139.815
455 3 1365 140.432 421.296
456 2 912 140.741 281.481
458 1 458 141.358 141.358
459 1 459 141.667 141.667
460 1 460 141.975 141.975
461 1 461 142.284 142.284
463 2 926 142.901 285.802
464 2 928 143.21 286.42
