HISTOGRAM: ../bin/data/BrionUH_salida.xyz.csv
N_puntos: 48024480
N_nodos: 781581
N_nodos_hoja: 586186
MinRadius: 0.2 m
Area_minima: 0.16 m^2

OBSERVADO: 
N_medio_pts/nodo: 81
__min: 0
__max: 776
Densidad_media: 512.044
__min: 0
__max: 4850

ESTIMADO: 
N_medio_pts/nodo: 19.5377
Densidad_media: 122.111

x_i n_i x_i*n_i rho_i rho_i*n_i

0 13047 0 0 0
1 1390 1390 6.25 8687.5
2 1096 2192 12.5 13700
3 961 2883 18.75 18018.7
4 983 3932 25 24575
5 855 4275 31.25 26718.7
6 871 5226 37.5 32662.5
7 900 6300 43.75 39375
8 899 7192 50 44950
9 911 8199 56.25 51243.7
10 887 8870 62.5 55437.5
11 897 9867 68.75 61668.7
12 927 11124 75 69525
13 967 12571 81.25 78568.7
14 1018 14252 87.5 89075
15 1085 16275 93.75 101719
16 1127 18032 100 112700
17 1125 19125 106.25 119531
18 1266 22788 112.5 142425
19 1384 26296 118.75 164350
20 1501 30020 125 187625
21 1665 34965 131.25 218531
22 1946 42812 137.5 267575
23 2238 51474 143.75 321712
24 2740 65760 150 411000
25 3315 82875 156.25 517969
26 3901 101426 162.5 633912
27 4471 120717 168.75 754481
28 4950 138600 175 866250
29 5350 155150 181.25 969687
30 6164 184920 187.5 1.15575e+06
31 6744 209064 193.75 1.30665e+06
32 7012 224384 200 1.4024e+06
33 7287 240471 206.25 1.50294e+06
34 7336 249424 212.5 1.5589e+06
35 7040 246400 218.75 1.54e+06
36 7246 260856 225 1.63035e+06
37 6258 231546 231.25 1.44716e+06
38 5729 217702 237.5 1.36064e+06
39 5309 207051 243.75 1.29407e+06
40 5125 205000 250 1.28125e+06
41 5013 205533 256.25 1.28458e+06
42 5103 214326 262.5 1.33954e+06
43 5038 216634 268.75 1.35396e+06
44 5050 222200 275 1.38875e+06
45 4893 220185 281.25 1.37616e+06
46 5100 234600 287.5 1.46625e+06
47 5204 244588 293.75 1.52867e+06
48 5137 246576 300 1.5411e+06
49 5270 258230 306.25 1.61394e+06
