HISTOGRAM: ../bin/data/BrionFH_salida.xyz.csv
N_puntos: 42384876
N_nodos: 3754133
N_nodos_hoja: 2815600
MinRadius: 0.1 m
Area_minima: 0.04 m^2

OBSERVADO: 
N_medio_pts/nodo: 15
__min: 0
__max: 329
Densidad_media: 376.34
__min: 0
__max: 8225

ESTIMADO: 
N_medio_pts/nodo: 4.78799
Densidad_media: 119.7

x_i n_i x_i*n_i rho_i rho_i*n_i

0 496548 0 0 0
1 17115 17115 25 427875
2 18387 36774 50 919350
3 21794 65382 75 1.63455e+06
4 29433 117732 100 2.9433e+06
5 40226 201130 125 5.02825e+06
6 62329 373974 150 9.34935e+06
7 93402 653814 175 1.63453e+07
8 108240 865920 200 2.1648e+07
9 122737 1104633 225 2.76158e+07
10 114228 1142280 250 2.8557e+07
11 108046 1188506 275 2.97126e+07
12 106028 1272336 300 3.18084e+07
13 103032 1339416 325 3.34854e+07
14 99052 1386728 350 3.46682e+07
15 95331 1429965 375 3.57491e+07
16 90725 1451600 400 3.629e+07
17 85587 1454979 425 3.63745e+07
18 81505 1467090 450 3.66772e+07
19 76705 1457395 475 3.64349e+07
20 72917 1458340 500 3.64585e+07
21 68168 1431528 525 3.57882e+07
22 63415 1395130 550 3.48782e+07
23 58715 1350445 575 3.37611e+07
24 54042 1297008 600 3.24252e+07
25 49681 1242025 625 3.10506e+07
26 45274 1177124 650 2.94281e+07
27 41405 1117935 675 2.79484e+07
28 37562 1051736 700 2.62934e+07
29 34051 987479 725 2.4687e+07
30 30795 923850 750 2.30962e+07
31 27775 861025 775 2.15256e+07
32 24961 798752 800 1.99688e+07
33 22286 735438 825 1.83859e+07
34 19858 675172 850 1.68793e+07
35 17870 625450 875 1.56362e+07
36 16273 585828 900 1.46457e+07
37 14588 539756 925 1.34939e+07
38 12943 491834 950 1.22958e+07
39 12007 468273 975 1.17068e+07
40 10617 424680 1000 1.0617e+07
41 9702 397782 1025 9.94455e+06
42 8806 369852 1050 9.2463e+06
43 7850 337550 1075 8.43875e+06
44 7173 315612 1100 7.8903e+06
45 6604 297180 1125 7.4295e+06
46 5905 271630 1150 6.79075e+06
47 5410 254270 1175 6.35675e+06
48 4896 235008 1200 5.8752e+06
49 4541 222509 1225 5.56272e+06
50 4034 201700 1250 5.0425e+06
51 3707 189057 1275 4.72642e+06
52 3423 177996 1300 4.4499e+06
53 3138 166314 1325 4.15785e+06
54 2899 156546 1350 3.91365e+06
55 2689 147895 1375 3.69737e+06
56 2566 143696 1400 3.5924e+06
57 2126 121182 1425 3.02955e+06
58 2010 116580 1450 2.9145e+06
59 1849 109091 1475 2.72727e+06
60 1711 102660 1500 2.5665e+06
61 1518 92598 1525 2.31495e+06
62 1416 87792 1550 2.1948e+06
63 1322 83286 1575 2.08215e+06
64 1184 75776 1600 1.8944e+06
65 1046 67990 1625 1.69975e+06
66 974 64284 1650 1.6071e+06
67 919 61573 1675 1.53932e+06
68 805 54740 1700 1.3685e+06
69 748 51612 1725 1.2903e+06
70 713 49910 1750 1.24775e+06
71 665 47215 1775 1.18037e+06
72 592 42624 1800 1.0656e+06
73 547 39931 1825 998275
74 478 35372 1850 884300
75 454 34050 1875 851250
76 411 31236 1900 780900
77 420 32340 1925 808500
78 369 28782 1950 719550
79 321 25359 1975 633975
80 260 20800 2000 520000
81 297 24057 2025 601425
82 252 20664 2050 516600
83 219 18177 2075 454425
84 216 18144 2100 453600
85 183 15555 2125 388875
86 189 16254 2150 406350
87 153 13311 2175 332775
88 191 16808 2200 420200
89 146 12994 2225 324850
90 126 11340 2250 283500
91 113 10283 2275 257075
92 129 11868 2300 296700
93 100 9300 2325 232500
94 98 9212 2350 230300
95 99 9405 2375 235125
96 69 6624 2400 165600
97 73 7081 2425 177025
98 77 7546 2450 188650
99 57 5643 2475 141075
100 60 6000 2500 150000
101 47 4747 2525 118675
102 62 6324 2550 158100
103 61 6283 2575 157075
104 49 5096 2600 127400
105 35 3675 2625 91875
106 44 4664 2650 116600
107 39 4173 2675 104325
108 27 2916 2700 72900
109 35 3815 2725 95375
110 26 2860 2750 71500
111 24 2664 2775 66600
112 19 2128 2800 53200
113 27 3051 2825 76275
114 18 2052 2850 51300
115 19 2185 2875 54625
116 23 2668 2900 66700
117 18 2106 2925 52650
118 20 2360 2950 59000
119 19 2261 2975 56525
120 15 1800 3000 45000
121 11 1331 3025 33275
122 17 2074 3050 51850
123 11 1353 3075 33825
124 12 1488 3100 37200
125 12 1500 3125 37500
126 9 1134 3150 28350
127 7 889 3175 22225
128 7 896 3200 22400
129 11 1419 3225 35475
130 10 1300 3250 32500
131 8 1048 3275 26200
132 10 1320 3300 33000
133 3 399 3325 9975
134 4 536 3350 13400
135 5 675 3375 16875
136 6 816 3400 20400
137 7 959 3425 23975
138 6 828 3450 20700
139 4 556 3475 13900
140 4 560 3500 14000
142 2 284 3550 7100
143 3 429 3575 10725
144 5 720 3600 18000
145 7 1015 3625 25375
146 1 146 3650 3650
147 1 147 3675 3675
148 4 592 3700 14800
149 2 298 3725 7450
150 4 600 3750 15000
151 2 302 3775 7550
152 4 608 3800 15200
153 2 306 3825 7650
154 3 462 3850 11550
155 1 155 3875 3875
156 1 156 3900 3900
158 2 316 3950 7900
159 1 159 3975 3975
160 2 320 4000 8000
161 5 805 4025 20125
162 4 648 4050 16200
163 2 326 4075 8150
166 2 332 4150 8300
167 3 501 4175 12525
168 2 336 4200 8400
169 2 338 4225 8450
170 1 170 4250 4250
172 2 344 4300 8600
173 3 519 4325 12975
174 1 174 4350 4350
176 1 176 4400 4400
179 3 537 4475 13425
180 1 180 4500 4500
181 1 181 4525 4525
182 1 182 4550 4550
186 2 372 4650 9300
187 1 187 4675 4675
188 1 188 4700 4700
189 1 189 4725 4725
194 1 194 4850 4850
197 2 394 4925 9850
199 1 199 4975 4975
202 2 404 5050 10100
208 1 208 5200 5200
214 2 428 5350 10700
216 1 216 5400 5400
217 1 217 5425 5425
219 1 219 5475 5475
223 1 223 5575 5575
226 1 226 5650 5650
231 1 231 5775 5775
238 1 238 5950 5950
246 1 246 6150 6150
247 1 247 6175 6175
270 1 270 6750 6750
273 1 273 6825 6825
282 1 282 7050 7050
329 1 329 8225 8225


HISTOGRAM_DE_NIVELES:
Nodos_hoja_analizados: 2815600

x_i n_i

10 459568
11 2356032


